Symbol,Name,Latest,Change,%Change,"IV Rank","Options Vol","1M Vol %Chg","Put Vol","Call Vol","Total OI"
HTZ,"Hertz Global Holdings Inc",2.27,0.25,+12.38%,100.00%,769849,+736.34%,110424,659425,1142118
NKTR,"Nektar Therapeutics",76.48,3.03,+4.13%,18.61%,9516,+639.97%,443,9073,39402
REAL,"The Realreal Inc",12.3,-0.47,-3.68%,19.77%,19053,+632.81%,721,18332,73093
CSGP,"Costar Group Inc",30.24,0.66,+2.23%,57.09%,18890,+620.17%,4242,14648,67818
BMRN,"Biomarin Pharmaceuticals",63.81,2.35,+3.82%,50.24%,7872,+598.49%,483,7389,32832
UROY,"Uranium Royalty Corp",4.15,0.19,+4.80%,11.34%,12329,+595.77%,421,11908,75295
ABNB,"Airbnb Inc Cl A",178.07,26.43,+17.43%,30.97%,95123,+574.11%,29862,65261,240408
CRSR,"Corsair Gaming Inc",14.35,3.74,+35.25%,33.24%,18046,+573.61%,3928,14118,46352
SWK,"Stanley Black & Decker",103.89,2.85,+2.82%,14.16%,9472,+549.66%,408,9064,87039
MNDY,"Monday.com Ltd",93.13,5.56,+6.35%,100.00%,12606,+540.22%,4930,7676,60384
TWLO,Twilio,241.28,48.08,+24.89%,43.96%,37863,+530.00%,13015,24848,97038
NRGV,"Energy Vault Hldgs Inc",3.49,0.53,+17.91%,65.10%,21685,+529.65%,6881,14804,165573
LZM,"Lifezone Metals Limited",4.12,0.18,+4.57%,20.93%,10698,+502.70%,1,10697,30724
TTD,"Trade Desk Inc",13.8,-3.87,-21.90%,34.50%,308254,+485.83%,115551,192703,939518
CWH,"Camping World Holdings Inc",6.32,0.09,+1.44%,44.05%,5344,+474.01%,108,5236,97466
FIGR,"Figure Technology Solutions Inc Cl A",28.62,0.02,+0.07%,35.10%,67289,+472.67%,34346,32943,131032
MITK,"Mitek Systems Inc",18.49,1.68,+9.99%,50.08%,6722,+461.57%,368,6354,26126
AEP,"American Electric Power",125.73,0.47,+0.38%,55.28%,9162,+447.64%,4531,4631,53978
TEAM,"Atlassian Corp",149.07,38.9,+35.31%,44.40%,74560,+442.65%,22365,52195,189602
CART,"Maplebear Inc [Instacart]",50.17,5.14,+11.41%,23.40%,24423,+426.36%,9482,14941,94968
BTG,"B2Gold Corp",5.03,0.94,+22.98%,9.68%,84567,+426.01%,11124,73443,700692
NVT,"Nvent Electric Plc",164.69,1.39,+0.85%,64.49%,6471,+423.12%,544,5927,29956
MPLX,"Mplx LP",58.85,-1.57,-2.60%,31.73%,17006,+396.38%,783,16223,79502
LASR,"Nlight Inc",56.15,-19.29,-25.57%,43.61%,7058,+395.99%,2665,4393,22319
MCHP,"Microchip Technology",84.69,10.33,+13.89%,43.34%,143757,+390.24%,6434,137323,500742
ERO,"Ero Copper Corp",34.31,3.21,+10.32%,47.09%,15558,+371.88%,1323,14235,102433
MDLN,"Medline Inc Cl A",35.23,0.72,+2.09%,25.72%,9858,+357.24%,2736,7122,34898
EVH,"Evolent Health Inc Cl A Com",3.95,0.36,+10.03%,7.64%,5269,+341.29%,4464,805,23544
CLMT,"Calumet Inc",39.48,-2.4,-5.73%,47.37%,16956,+337.35%,3287,13669,128104
CROX,"Crocs Inc",136.62,2.44,+1.82%,21.01%,6468,+335.85%,2722,3746,41671
AI,"C3.Ai Inc Cl A",10.22,0.36,+3.65%,45.51%,134597,+331.89%,3362,131235,278494
IBKR,"Interactive Brokers",87.83,1.81,+2.10%,37.04%,27880,+331.31%,22799,5081,141860
GEN,"Gen Digital Inc",29.17,1.07,+3.81%,38.37%,6355,+327.95%,168,6187,26036
FLR,"Fluor Corp",57,8.25,+16.92%,27.64%,14631,+318.03%,5438,9193,132028
B,"Barrick Mining Corp",43.68,2.31,+5.58%,62.39%,87537,+317.40%,24052,63485,808411
AQST,"Aquestive Therapeutics Inc",3.94,0.02,+0.51%,17.44%,10664,+315.43%,10099,565,74416
NN,"Nextnav Inc",16.31,1.31,+8.73%,63.11%,114983,+313.25%,10280,104703,489657
TMC,"Tmc The Metals Company",4.57,0.45,+10.92%,42.50%,46061,+310.78%,1913,44148,409404
GTM,"Zoominfo Technologies Inc Cl A",4.18,0.04,+0.97%,45.55%,19706,+308.33%,188,19518,104048
UPWK,"Upwork Inc",9.67,0.25,+2.65%,85.85%,5273,+304.99%,2451,2822,43066
DKNG,"Draftkings Inc",24.03,1.86,+8.39%,46.73%,176933,+303.65%,30093,146840,987742
SOUN,"Soundhound AI Inc Cl A",8.02,0.94,+13.28%,24.02%,262228,+298.86%,37139,225089,739485
TENX,"Tenax Therapeutics",13.44,0.13,+0.98%,100.00%,15923,+297.58%,11235,4688,88000
TNDM,"Tandem Diabetes Care",22.38,3.59,+19.11%,42.74%,5372,+294.71%,2661,2711,20056
CELH,"Celsius Holdings Inc",27.77,4,+16.83%,44.53%,157892,+293.56%,34001,123891,694435
FROG,"Jfrog Ltd",89.52,6.48,+7.80%,55.21%,4952,+283.28%,2760,2192,46180
SG,"Sweetgreen Inc Cl A",5.4,-0.47,-8.01%,37.66%,27712,+281.18%,14213,13499,254717
CIA,"Citizens Inc",3.8,-0.77,-16.85%,54.54%,6820,+276.59%,6820,0,50373
AEM,"Agnico-Eagle Mines Ltd",178.82,10.9,+6.49%,58.55%,31067,+275.30%,9882,21185,165742
AMLX,"Amylyx Pharmaceuticals Inc",22.82,-1.37,-5.66%,76.70%,10381,+270.88%,6787,3594,49538
PPTA,"Perpetua Resources Corp",24.72,1.89,+8.28%,20.70%,6579,+268.98%,2626,3953,60338
NTRA,"Natera Inc",322.1,56.72,+21.37%,32.14%,5355,+268.29%,1256,4099,35855
PTON,"Peloton Interactive Inc",5.68,0.17,+3.18%,4.09%,69515,+264.53%,2966,66549,786130
SN,"Sharkninja Inc",185.52,5.59,+3.11%,18.09%,6575,+262.66%,6082,493,17560
SIRI,"Siriusxm Holdings Inc",29.91,0.03,+0.10%,15.98%,83848,+245.49%,2170,81678,373982
HONA,"Honeywell Aerospace Inc",168.51,12.04,+7.69%,45.32%,9098,+241.00%,4054,5044,29887
AREC,"American Resources Corp",2.74,0.47,+20.70%,11.29%,7472,+240.41%,605,6867,66629
BEKE,"Ke Holdings Inc ADR",17.04,0.12,+0.71%,18.21%,5268,+237.91%,673,4595,69649
GFI,"Gold Fields Ltd ADR",40.82,3.48,+9.32%,27.94%,13444,+231.79%,8394,5050,72897
FLY,"Firefly Aerospace Inc",26.71,2.65,+11.01%,66.14%,37848,+231.22%,2721,35127,198733
MP,"MP Materials Corp",51.11,3.62,+7.62%,18.48%,82906,+226.96%,22682,60224,466304
ACMR,"Acm Research Inc",83.8,4.82,+6.10%,66.35%,21866,+214.80%,858,21008,66265
FIGS,"Figs Inc Cl A",14.26,3.02,+26.87%,21.88%,4654,+214.67%,1596,3058,25844
AKAM,"Akamai Technologies",110.54,-8.01,-6.76%,41.79%,20833,+211.96%,7776,13057,233875
MRLN,"Merlin Inc",4.44,0.19,+4.47%,56.17%,8436,+211.41%,265,8171,98774
ZTS,"Zoetis Inc Cl A",72.66,-4.61,-5.97%,41.16%,19197,+210.33%,12033,7164,166430
ABSI,"Absci Corp",8.93,0.63,+7.59%,23.00%,6342,+210.12%,889,5453,68963
SPCX,"SpaceX Corp",133.11,18.19,+15.83%,33.30%,3006580,+209.78%,1242261,1764319,5305937
WOLF,"Wolfspeed Inc",32.87,5.28,+19.14%,16.19%,145189,+209.58%,98071,47118,602451
VEEV,"Veeva Systems Inc",230.47,12.67,+5.82%,45.36%,4670,+209.48%,1503,3167,41587
PLTR,"Palantir Technologies Cl A",172.01,16.09,+10.32%,30.78%,1757989,+205.73%,525705,1232284,3948759
UEC,"Uranium Energy",11.26,0.5,+4.65%,16.51%,42722,+205.27%,17051,25671,228306
RARE,"Ultragenyx Pharmaceu",25.91,0.09,+0.35%,60.32%,17495,+205.22%,8437,9058,96259
EVC,"Entravision Communications Corp",11.97,0.56,+4.91%,44.50%,5772,+204.91%,10,5762,45252
MSTR,"Strategy Inc",100.01,3.16,+3.26%,31.28%,1094791,+204.31%,189807,904984,2708973
ELF,"E.L.F. Beauty Inc",98.49,6.18,+6.69%,26.84%,28049,+197.32%,11821,16228,133758
GRPN,"Groupon Cl A",25.03,-0.12,-0.48%,40.68%,25594,+196.91%,8610,16984,132315
CPRT,"Copart Inc",29.66,0.65,+2.24%,66.79%,13559,+188.06%,357,13202,103616
LAC,"Lithium Americas Corp",3.23,0.21,+6.95%,6.30%,25657,+184.60%,5585,20072,347048
WRBY,"Warby Parker Inc Cl A",26.46,-0.5,-1.85%,24.35%,15742,+183.69%,5309,10433,102689
NET,"Cloudflare Inc Cl A",300.27,15.84,+5.57%,37.14%,52059,+182.73%,19965,32094,246111
BROS,"Dutch Bros Inc Cl A",53.01,-0.32,-0.60%,9.08%,15001,+180.87%,6223,8778,73027
EIX,"Edison International",68.62,1.39,+2.07%,53.68%,13949,+180.61%,8448,5501,87383
AEVA,"Aeva Technologies Inc",26.62,1.36,+5.38%,22.29%,6039,+180.10%,3068,2971,49803
NG,"Novagold Resources Inc",7.59,0.69,+10.00%,55.53%,5897,+175.05%,706,5191,54028
SATL,"Satellogic Inc Cl A",5.52,0.48,+9.52%,0.74%,8530,+172.61%,341,8189,106578
PCG,"Pacific Gas & Electric Company",17.46,0.46,+2.71%,50.22%,186821,+171.07%,6574,180247,1605334
UUUU,"Energy Fuels Inc",14.14,1.24,+9.61%,5.39%,48963,+169.06%,6425,42538,455395
NXE,"Nexgen Energy Ltd",10.43,0.2,+1.96%,10.56%,21110,+168.34%,17570,3540,226733
TTWO,"Take-Two Interactive",246.5,14.03,+6.04%,60.10%,38343,+164.51%,19509,18834,242712
OKLO,"Oklo Inc",48.42,6.23,+14.77%,20.25%,148783,+163.51%,49902,98881,693794
INDI,"Indie Semiconductor Cl A",4.04,0.61,+17.78%,34.19%,6447,+162.82%,346,6101,125870
AG,"First Majestic Silver",18.4,1.12,+6.48%,26.11%,93020,+160.97%,53218,39802,978691
RITM,"Rithm Capital Corp",10.19,0.25,+2.52%,27.58%,4729,+154.93%,86,4643,145984
MNST,"Monster Beverage Corp",90.36,-3.8,-4.04%,23.45%,8936,+152.43%,4983,3953,73578
AAOI,"Applied Optoelect",135.63,11.41,+9.19%,48.74%,130497,+151.52%,47819,82678,334397
ROKU,"Roku Inc",153.11,3.04,+2.03%,0.00%,12528,+148.03%,3453,9075,108733
CDE,"Coeur Mining Inc",17.39,1.74,+11.12%,30.01%,50267,+148.00%,8657,41610,570671
INOD,"Innodata Inc",62.33,-3.15,-4.81%,34.75%,14681,+147.20%,5503,9178,70449
PCT,"Purecycle Technologies Inc",7.21,0.34,+4.95%,63.07%,22466,+146.82%,5003,17463,483336
USAR,"USA Rare Earth Inc",19.33,1.92,+11.03%,13.33%,74529,+144.05%,14225,60304,504979
GTLB,"Gitlab Inc Cl A",38.97,3.29,+9.22%,38.45%,13385,+143.50%,1240,12145,219383
SCCO,"Southern Copper Corp",199.06,6.03,+3.12%,56.72%,8501,+141.92%,5557,2944,46926
TENB,"Tenable Holdings Inc",36.38,0.21,+0.58%,54.96%,5072,+141.18%,4793,279,30795
OSCR,"Oscar Health Inc Cl A",27.9,1.36,+5.12%,17.77%,39558,+140.14%,7289,32269,538121
COHR,"Coherent Corp",379.13,44.91,+13.44%,84.72%,53994,+139.56%,20292,33702,246586
AU,"Anglogold Ashanti Ltd ADR",96.22,8.63,+9.85%,37.49%,5397,+138.49%,3335,2062,75076
STUB,"Stubhub Holdings Inc Cl A",8.95,0.07,+0.79%,28.04%,19961,+136.56%,2871,17090,124731
PAAS,"Pan Amer Silver Corp",51.22,3.17,+6.60%,41.93%,17295,+135.50%,2601,14694,256339
FOXA,"Fox Corp Cl A",64.03,2.24,+3.63%,37.84%,5429,+132.80%,2353,3076,57877
UAMY,"United States Antimony Corp",6.85,0.64,+10.31%,6.20%,19935,+131.43%,1617,18318,238987
CHYM,"Chime Financial Inc Cl A",29.1,-2.15,-6.88%,6.93%,13378,+130.97%,2426,10952,124883
HUBS,"Hubspot Inc",210.45,8.02,+3.96%,50.21%,6784,+128.42%,1231,5553,62579
AXTI,"Axt Inc",88.58,13.41,+17.84%,31.33%,65320,+127.75%,20165,45155,260259
LYFT,"Lyft Inc Cl A",17.46,1.16,+7.12%,18.78%,55525,+126.60%,16581,38944,634203
RDW,"Redwire Corp",13.59,1.76,+14.88%,40.70%,66944,+125.93%,10231,56713,388310
FSLR,"First Solar Inc",250.05,5.91,+2.42%,43.55%,52291,+122.46%,13088,39203,629221
DDOG,"Datadog Cl A",233.93,4.64,+2.02%,39.17%,44797,+122.44%,20119,24678,307357
HUT,"Hut 8 Corp",88.59,-2.06,-2.27%,39.94%,53699,+120.58%,20608,33091,298411
WPM,"Wheaton Precious Metals",134.2,8.9,+7.10%,54.18%,8126,+119.09%,2301,5825,109931
VST,"Vistra Energy Corp",140.59,-0.79,-0.56%,24.68%,80161,+118.58%,26142,54019,565605
QURE,"Uniqure N.V.",46.42,1.06,+2.34%,15.61%,8522,+118.07%,2434,6088,150746
ETSY,"Etsy Inc",85.55,3.29,+4.00%,28.80%,18707,+117.14%,2279,16428,190525
EQX,"Equinox Gold Corp",11.58,0.84,+7.82%,56.68%,12077,+114.25%,3259,8818,206280
NTR,"Nutrien Ltd",64.42,-2.34,-3.51%,32.54%,5855,+113.76%,1079,4776,100104
AGI,"Alamos Gold Inc",33.15,2.05,+6.59%,51.37%,6604,+113.45%,1339,5265,108611
MARA,"Mara Holdings Inc",10.09,-0.56,-5.26%,39.77%,433326,+111.55%,110083,323243,1798822
NRG,"NRG Energy",118.13,-0.92,-0.77%,53.50%,27684,+109.51%,3175,24509,174911
UBER,"UBER Technologies Inc",75.02,4.55,+6.46%,25.86%,230215,+108.81%,79825,150390,1355914
CMCSA,"Comcast Corp A",25.36,0.19,+0.75%,34.37%,81727,+107.96%,67667,14060,873324
SERV,"Serve Robotics Inc",5.09,-0.59,-10.39%,35.22%,24084,+106.82%,13299,10785,194238
LUNR,"Intuitive Machines Inc",16.4,1.47,+9.85%,67.19%,47191,+106.09%,15566,31625,319452
CPNG,"Coupang Cl A",16.23,-0.12,-0.73%,43.20%,45324,+105.96%,11625,33699,728893
RXT,"Rackspace Technology Inc",4.9,0.08,+1.66%,14.48%,27336,+105.80%,1781,25555,192146
CCJ,"Cameco Corp",97.39,3.77,+4.03%,28.32%,48102,+105.61%,25795,22307,427562
ICE,"Intercontinental Exchange",150.3,0.55,+0.37%,54.39%,7366,+104.50%,2250,5116,65081
RKLB,"Rocket Lab Corp",82.83,7.16,+9.46%,65.48%,258739,+103.46%,82384,176355,1151646
INSM,"Insmed Inc",131.1,-1.45,-1.09%,9.79%,8179,+102.55%,1726,6453,129148
RKT,"Rocket Companies Cl A",13.72,0.5,+3.78%,42.14%,84682,+101.25%,21166,63516,957707
FIVN,"Five9 Inc",33.99,5.62,+19.81%,31.62%,8615,+98.50%,3476,5139,79957
U,"Unity Software Inc",43,2.19,+5.37%,14.22%,62381,+98.22%,16663,45718,610262
NNE,"Nano Nuclear Energy Inc",18.85,1.24,+7.04%,38.00%,10374,+96.74%,4592,5782,93205
SRPT,"Sarepta Therapeutics",16.78,0,0.00%,13.02%,8373,+95.95%,561,7812,98949
WDAY,"Workday Inc",179.64,9.4,+5.52%,77.20%,17337,+95.68%,7728,9609,169070
MPT,"Medical Properties Trust Inc",4.7,0.1,+2.17%,29.43%,17664,+95.07%,5952,11712,497310
ADBE,"Adobe Systems Inc",265.21,4.97,+1.91%,76.62%,90623,+94.02%,54625,35998,697263
NU,"NU Holdings Ltd Cl A",13.84,-0.28,-1.98%,60.98%,92033,+93.73%,51964,40069,1690351
HPQ,"HP Inc",30.05,1.87,+6.64%,85.16%,47290,+91.16%,31903,15387,470435
ASPI,"Asp Isotopes Inc",4.43,0.33,+8.05%,19.11%,9052,+90.61%,598,8454,165225
ALT,"Altimmune Inc",3.08,0.07,+2.33%,8.73%,6719,+88.90%,791,5928,177975
RGTI,"Rigetti Computing Inc",17.94,1.41,+8.53%,18.64%,107687,+88.12%,23750,83937,705666
COIN,"Coinbase Global Cl A",153.6,8.19,+5.63%,38.19%,236126,+87.40%,69615,166511,1078476
NLY,"Annaly Capital Management Inc",23.04,0.38,+1.68%,5.61%,14530,+86.23%,2106,12424,136211
DOCN,"Digitalocean Holdings Inc",124.15,1.92,+1.57%,59.47%,16186,+85.96%,2714,13472,172957
EXK,"Endeavour Silver Corp",9.54,0.71,+8.04%,35.57%,6403,+85.86%,1570,4833,195095
LULU,"Lululemon Athletica",128.58,3.85,+3.09%,45.18%,41134,+85.83%,17135,23999,382351
KSS,"Kohl's Corp",19.3,0.85,+4.61%,29.10%,10952,+85.22%,2179,8773,136846
S,"Sentinelone Inc Cl A",21.4,0.64,+3.08%,53.40%,36696,+84.81%,935,35761,283163
APP,"Applovin Corp Cl A",346.8,11.13,+3.32%,21.19%,57020,+83.66%,22458,34562,339611
KGC,"Kinross Gold Corp",27.64,2.02,+7.88%,45.55%,9504,+83.62%,1764,7740,192099
XE,"X-Energy Inc Cl A",22.65,1.83,+8.79%,39.72%,13288,+82.80%,5255,8033,111659
SU,"Suncor Energy Inc",60.1,-1.25,-2.04%,31.39%,7295,+82.51%,5802,1493,161662
PL,"Planet Labs Pbc",23.93,1.21,+5.33%,44.88%,24822,+82.06%,11748,13074,252462
LYB,"Lyondellbasell Industries NV",59.59,-1.85,-3.01%,19.16%,5982,+80.94%,2447,3535,149749
UAA,"Under Armour",6.11,-0.29,-4.53%,43.68%,24095,+79.09%,2748,21347,495376
BRK.B,"Berkshire Hathaway Cl B",521.8,-2.81,-0.54%,46.31%,42894,+78.15%,17246,25648,530090
WDC,"Western Digital Corp",434.3,-17.22,-3.81%,52.89%,101366,+77.32%,45505,55861,498174
CIFR,"Cipher Digital Inc",17.18,-1.03,-5.66%,25.01%,193374,+77.11%,92937,100437,1500735
MDB,"Mongodb Inc Cl A",398.8,28.8,+7.78%,61.12%,22774,+77.06%,7866,14908,218653
GRAB,"Grab Holdings Ltd Cl A",3.66,-0.01,-0.27%,27.15%,43058,+77.06%,29843,13215,1533877
SBSW,"Sibanye Gold Ltd ADR",10.64,0.75,+7.58%,42.74%,7608,+76.64%,1028,6580,204496
NVTS,"Navitas Semiconductor Corp",13.89,1.49,+12.02%,27.56%,80424,+75.67%,12896,67528,563625
EQNR,"Equinor ASA ADR",38.92,-0.54,-1.37%,39.41%,9724,+75.65%,6496,3228,134217
VIAV,"Viavi Solutions",39.14,-1.45,-3.57%,68.50%,7934,+75.30%,565,7369,115363
HL,"Hecla Mining Company",16.85,0.99,+6.24%,39.07%,38130,+74.84%,18087,20043,747999
REPL,"Replimune Group Inc",12.06,-0.8,-6.22%,5.69%,42666,+73.42%,14046,28620,310430
DUOL,"Duolingo Inc Cl A",130.9,8.32,+6.79%,12.75%,10462,+71.87%,3113,7349,102580
TJX,"TJX Companies",161.36,-0.7,-0.43%,75.05%,8890,+71.85%,3184,5706,121407
PATH,"Uipath Inc Cl A",15.05,1.05,+7.50%,56.09%,70255,+69.96%,15339,54916,725301
PLUG,"Plug Power Inc",2.18,0.11,+5.31%,22.43%,34614,+69.46%,6967,27647,793295
NEM,"Newmont Mining Corp",112.98,7.55,+7.16%,44.15%,34458,+68.24%,11397,23061,539038
DFTX,"Definium Therapeutics Inc",46.14,0,0.00%,68.16%,7611,+68.12%,5159,2452,84941
CAR,"Avis Budget Group",142.18,3.83,+2.77%,9.73%,7526,+68.07%,6243,1283,140892
LITE,"Lumentum Holdings",890.17,52.11,+6.22%,77.29%,47510,+67.65%,23739,23771,260749
RMBS,"Rambus Inc",101.52,3.84,+3.93%,51.30%,4890,+67.01%,2689,2201,57493
FUTU,"Futu Holdings Ltd ADR",109.02,4.5,+4.31%,33.78%,9369,+66.35%,4641,4728,119680
SEI,"Solaris Energy Infrastructure Inc",57.96,0.95,+1.67%,35.23%,5708,+63.18%,4877,831,81806
PFE,"Pfizer Inc",26.76,0.56,+2.14%,12.52%,172018,+63.16%,57857,114161,2634155
SNOW,"Snowflake Cl A",330.49,12.49,+3.93%,68.58%,53875,+62.42%,16336,37539,561150
DASH,"Doordash Cl A",216.26,3,+1.41%,19.79%,17396,+62.40%,6858,10538,217973
TER,"Teradyne Inc",379.31,-5.58,-1.45%,55.13%,14212,+61.23%,5223,8989,96679
SYM,"Symbotic Inc",40.18,0.58,+1.46%,0.00%,7104,+60.51%,2023,5081,81537
RBRK,"Rubrik Inc Cl A",90.07,5.47,+6.47%,56.34%,6002,+58.91%,1171,4831,88428
BBAI,"Bigbear.Ai Holdings Inc",3.27,0.26,+8.64%,0.00%,48400,+58.02%,4328,44072,741385
ADI,"Analog Devices",389.93,12.62,+3.34%,70.85%,13604,+57.75%,6712,6892,104717
OUST,"Ouster Inc",43.4,-2.18,-4.78%,41.82%,16403,+57.71%,5098,11305,134051
ARCC,"Ares Capital Corp",20.01,0.39,+1.99%,24.01%,5002,+57.64%,1898,3104,177779
FPS,"Forgent Power Solutions Inc Cl A",38.71,0.99,+2.62%,54.01%,7360,+56.20%,6291,1069,60669
GRRR,"Gorilla Technology Group Inc",13.15,0.77,+6.22%,32.14%,6497,+55.36%,4166,2331,116920
TEM,"Tempus AI Cl A",52.05,5.93,+12.86%,14.32%,30337,+54.58%,8092,22245,334511
JOBY,"Joby Aviation Inc",8.64,0.41,+4.98%,10.22%,42974,+54.19%,9104,33870,476408
RCAT,"Red Cat Holdings Inc",9.21,0.54,+6.23%,37.11%,24481,+53.29%,4813,19668,270459
POET,"Poet Technologies Inc",8.91,0.38,+4.45%,38.91%,76246,+52.91%,20595,55651,1146471
CBRS,"Cerebras Systems Cl A",226.73,15.43,+7.30%,71.47%,44097,+51.32%,10380,33717,215902
KTOS,"Kratos Defense & Security Inc",60.77,3.36,+5.85%,38.27%,16166,+51.23%,3480,12686,153410
LUMN,"Lumen Technologies Inc",6.24,0.34,+5.76%,19.82%,19249,+50.69%,2322,16927,468600
IOVA,"Iovance Biotherapeutics Inc",6.34,0.13,+2.09%,5.93%,20996,+48.87%,4648,16348,286716
DOCU,"Docusign Inc",60.26,3.36,+5.91%,62.44%,11020,+48.82%,6107,4913,151991
RIOT,"Riot Platforms Inc",20.52,-0.69,-3.25%,65.20%,113642,+48.42%,31325,82317,833129
CIEN,"Ciena Corp",412.39,8.63,+2.14%,70.82%,14407,+47.69%,7145,7262,93716
PBR,"Petroleo Brasileiro S.A. Petrobras ADR",17.96,-0.56,-3.02%,8.78%,47029,+47.38%,24192,22837,2020625
TSLA,"Tesla Inc",328.58,9.05,+2.83%,10.99%,3454947,+47.17%,1239997,2214950,5874939
UMAC,"Unusual Machines Inc",26.11,1.88,+7.76%,53.83%,10426,+46.17%,2080,8346,93733
SNDK,"Sandisk Corp",1212.21,-46.37,-3.68%,39.76%,334092,+45.84%,160016,174076,1058341
AVAV,"Aerovironment Inc",186.73,15.61,+9.12%,49.80%,8894,+45.76%,2316,6578,66863
MELI,"Mercadolibre Inc",1820.69,-9.31,-0.51%,18.99%,9049,+45.60%,4571,4478,64388
RLAY,"Relay Therapeutics Inc",19.77,0.02,+0.10%,3.40%,6560,+44.18%,1166,5394,24229
MRNA,"Moderna Inc",59.17,5.31,+9.86%,37.23%,60300,+42.92%,10527,49773,622946
NOW,"Servicenow Inc",124.88,7.53,+6.42%,53.88%,240304,+41.92%,60963,179341,1431320
OWL,"Blue Owl Capital Inc",11.87,0.41,+3.58%,32.15%,33289,+40.97%,5668,27621,1152497
QS,"Quantumscape Corp",6.08,0.55,+9.95%,14.44%,43527,+40.69%,11223,32304,726688
DAL,"Delta Air Lines Inc",91.34,-0.64,-0.70%,3.44%,38832,+40.67%,7171,31661,406244
SMCI,"Super Micro Computer",31.13,1.75,+5.96%,75.91%,307211,+39.58%,66550,240661,2420143
IONQ,"Ionq Inc",44.43,4.71,+11.86%,34.21%,119337,+39.00%,37003,82334,788481
CPRI,"Capri Holdings Ltd",15.31,0.31,+2.07%,31.75%,4885,+37.96%,646,4239,82237
APH,"Amphenol Corp",169.18,-1.43,-0.84%,52.01%,8549,+37.40%,7144,1405,142998
GFS,"Globalfoundries Inc",53.93,3.57,+7.09%,55.82%,9259,+37.11%,3346,5913,119212
KLAR,"Klarna Group Plc",19.9,-0.36,-1.78%,54.75%,10866,+36.20%,1356,9510,146579
SE,"Sea Ltd ADR",113.43,2.43,+2.19%,78.04%,9086,+36.18%,1877,7209,229975
AUR,"Aurora Innovation Inc Cl A",7.06,0.28,+4.13%,8.02%,12402,+35.82%,1770,10632,495120
BKNG,"Booking Holdings",214.42,7.03,+3.39%,26.47%,20967,+35.42%,6630,14337,662046
ACHR,"Archer Aviation Inc",5.59,0.36,+6.88%,42.21%,55040,+35.12%,11927,43113,698219
ZS,"Zscaler Inc",168.68,6.08,+3.74%,66.11%,22508,+35.06%,9749,12759,236615
CRML,"Critical Metals Corp",7.25,0.7,+10.69%,13.56%,16820,+34.58%,2932,13888,309102
BIDU,"Baidu Inc ADR",109.71,0.38,+0.35%,48.23%,32935,+34.15%,9455,23480,386263
STZ,"Constellation Brands",135.76,3.24,+2.44%,23.74%,6686,+34.15%,3978,2708,97093
STX,"Seagate Technology Holdings",812.76,-40.19,-4.71%,57.54%,39477,+33.53%,21084,18393,283901
RDDT,"Reddit Cl A",161.7,10.83,+7.18%,18.34%,66165,+33.51%,24986,41179,555482
TOST,"Toast Inc Cl A",34.48,-0.24,-0.69%,11.35%,19324,+32.64%,6722,12602,362545
ALB,"Albemarle Corp",131.11,5.69,+4.54%,21.01%,8296,+32.59%,2714,5582,200929
