Symbol,Name,Latest,%Change,"Imp Vol","IV Chg","30D His Vol",IV/HV,"IV Rank","IV Pctl","HV Rank","HV Pctl",Earnings
WDAY,"Workday Inc",191.18,-3.77%,56.21%,+4.57%,77.23%,0.72779489835556,58.83%,62%,100.00%,100%,2026-08-27
HIMS,"Hims & Hers Health Inc",28.61,+1.63%,68.70%,+2.88%,94.01%,0.73072970960536,13.74%,12%,54.87%,73%,2026-11-02
QBTS,"D-Wave Quantum Inc",20.87,-1.42%,75.63%,-1.75%,102.94%,0.73473382552943,0.00%,0%,56.49%,50%,2026-11-05
CORZ,"Core Scientific Inc",20.13,-0.25%,74.13%,+1.02%,100.77%,0.73562072045252,13.08%,12%,90.75%,96%,2026-10-23
AMAT,"Applied Materials",535.31,+5.55%,57.13%,+1.70%,77.65%,0.73578750804894,40.92%,60%,67.21%,87%,2026-11-12
ACHR,"Archer Aviation Inc",6.39,-3.47%,74.03%,+1.33%,100.58%,0.73605786438656,23.23%,23%,98.20%,99%,2026-11-05
SMCI,"Super Micro Computer",38.28,-3.92%,73.95%,-3.15%,100.38%,0.736698545527,38.49%,40%,58.51%,73%,2026-11-03
FRMI,"Fermi Inc",6.14,-4.06%,98.49%,-3.64%,133.57%,0.73739911656809,0.00%,0%,60.28%,74%,2026-11-09
SE,"Sea Ltd ADR",119.45,-2.04%,40.78%,+0.20%,55.22%,0.73854762767113,19.38%,22%,60.90%,70%,2026-11-10
BE,"Bloom Energy Corp Cl A",232.16,+0.97%,93.15%,-0.26%,125.72%,0.74097200127267,12.17%,8%,73.20%,83%,2026-10-27
WDC,"Western Digital Corp",536.01,+5.35%,73.42%,+0.49%,98.68%,0.74405249290636,46.72%,35%,82.59%,87%,2026-10-29
ABCL,"Abcellera Biologics Inc",11.2,-1.58%,87.72%,-0.08%,115.65%,0.75852572416775,5.05%,12%,96.19%,98%,2026-11-05
HTZ,"Hertz Global Holdings Inc",2.16,-3.57%,106.26%,-8.45%,139.65%,0.7609380594343,36.49%,70%,75.40%,88%,2026-11-03
FIG,"Figma Cl A",24.99,-1.69%,72.50%,+1.68%,94.98%,0.76328490208465,35.06%,23%,52.79%,90%,2026-11-04
AAOI,"Applied Optoelect",154.89,+3.07%,109.65%,-3.06%,143.64%,0.76338763575606,35.22%,34%,54.27%,72%,2026-11-05
LITE,"Lumentum Holdings",968.9,+4.62%,82.06%,-0.70%,107.47%,0.7635395924444,48.22%,25%,82.94%,85%,2026-11-03
CBRS,"Cerebras Systems Cl A",251.98,+15.07%,98.77%,+2.79%,129.30%,0.76384686774942,19.04%,10%,47.27%,42%,2026-11-11
VG,"Venture Global Inc Cl A",13.75,-1.72%,60.94%,-0.27%,79.76%,0.76400952858576,24.56%,13%,59.97%,60%,2026-11-09
IREN,"Iren Limited",44.9,+1.91%,99.77%,+1.89%,130.01%,0.76739173909699,24.08%,13%,88.36%,95%,2026-08-27
AEHR,"Aehr Test Systems",145.61,+8.62%,120.20%,-0.37%,155.56%,0.77269220879403,52.72%,49%,87.67%,96%,2026-10-05
LRCX,"Lam Research Corp",343.84,+3.45%,61.75%,+1.84%,79.84%,0.77336923847695,42.62%,50%,70.82%,87%,2026-10-28
UAMY,"United States Antimony Corp",5.62,+2.00%,95.06%,-0.68%,122.50%,0.77603918367347,0.01%,1%,46.66%,53%,2026-11-11
VRT,"Vertiv Holdings",292.43,-0.48%,58.63%,+1.07%,75.15%,0.78020226214238,32.54%,22%,69.03%,79%,2026-10-28
CAVA,"Cava Group Inc",71.02,-4.57%,48.36%,-0.05%,61.90%,0.78122132471729,15.93%,14%,57.65%,72%,2026-11-03
CLSK,"Cleanspark Inc",12.4,+2.56%,81.20%,-1.69%,103.48%,0.78473328179358,22.98%,11%,79.57%,68%,2026-11-24
GLW,"Corning Inc",173.21,+4.35%,66.10%,+1.30%,83.70%,0.78969056152927,56.84%,55%,68.86%,81%,2026-10-27
UMAC,"Unusual Machines Inc",30.15,-11.48%,112.07%,-22.02%,141.15%,0.79397803754871,29.74%,33%,59.73%,87%,2026-11-05
TE,"T1 Energy Inc",4.88,-4.50%,106.48%,-8.36%,133.25%,0.79911444652908,2.34%,2%,61.13%,71%,2026-11-13
ALAB,"Astera Labs Inc",320.17,-0.45%,87.83%,+2.53%,109.35%,0.80318518518519,34.50%,43%,73.18%,76%,2026-11-03
ARM,"Arm Holdings Plc ADR",271.43,-2.87%,70.79%,+1.59%,87.45%,0.80949571183533,40.63%,63%,61.74%,72%,2026-11-04
SG,"Sweetgreen Inc Cl A",5.88,-6.37%,74.06%,-1.99%,91.22%,0.81188664766499,16.61%,19%,80.05%,87%,2026-11-05
GLXY,"Galaxy Digital Holdings",21.87,+0.97%,81.34%,+0.24%,99.98%,0.81356371274255,18.16%,9%,60.01%,85%,2026-10-20
AMC,"AMC Entertainment Holdings",2.44,-2.40%,81.63%,-0.92%,99.93%,0.81685079555689,28.44%,31%,61.85%,80%,2026-11-04
RIOT,"Riot Platforms Inc",20.04,+5.39%,83.36%,+0.22%,101.98%,0.81742890762895,28.32%,24%,84.89%,88%,2026-10-29
UMC,"United Microelectronics Corp ADR",19.53,+1.98%,63.17%,+0.85%,76.20%,0.82894225721785,46.69%,69%,74.67%,79%,2026-11-04
ASTS,"Ast Spacemobile Inc",71.14,+0.23%,80.22%,+1.45%,96.55%,0.83086690833765,7.43%,6%,46.50%,26%,2026-11-09
HUT,"Hut 8 Corp",88.04,+3.04%,94.37%,-1.74%,113.49%,0.83152260111023,22.45%,18%,77.28%,67%,2026-11-03
ENVX,"Enovix Corp",3.6,-18.11%,87.60%,-2.91%,105.47%,0.83212311199772,24.29%,21%,86.00%,95%,2026-11-04
FCEL,"Fuelcell Energy Inc",22.36,-0.04%,122.32%,-1.93%,146.40%,0.83553278688525,41.87%,60%,65.90%,75%,2026-09-08
RGTI,"Rigetti Computing Inc",18.67,-0.80%,74.99%,-8.09%,88.30%,0.84926387315968,0.67%,1%,33.62%,32%,2026-11-09
ONDS,"Ondas Inc",9,-2.60%,77.62%,-4.93%,91.01%,0.85283485331282,0.00%,0%,25.69%,23%,2026-11-12
APLD,"Applied Digital Corp",31.18,-0.06%,85.82%,-1.53%,99.13%,0.86575607787753,10.39%,2%,46.72%,42%,2026-10-08
KEEL,"Keel Infrastructure Corp",3.77,+7.41%,111.29%,+7.07%,127.58%,0.87233108637718,42.18%,18%,70.20%,85%,2026-11-12
OUST,"Ouster Inc",48.13,-1.19%,106.93%,+1.03%,121.20%,0.88230198019802,41.56%,50%,60.82%,79%,2026-11-03
"Downloaded from Barchart.com as of 08-17-2026 08:06pm CDT"
