Symbol,Name,Latest,%Change,"Imp Vol","IV Chg","30D His Vol",IV/HV,"IV Rank","IV Pctl","HV Rank","HV Pctl",Earnings
SPCE,"Virgin Galactic Holdings Inc",3.32,+5.73%,90.42%,-3.41%,66.15%,1.3669085411943,2.49%,1%,13.53%,33%,2026-11-12
NUAI,"New Era Energy & Digital Inc",5.07,+1.50%,171.13%,-6.43%,128.03%,1.3366320393658,52.57%,52%,18.03%,36%,2026-08-14
NN,"Nextnav Inc",19.9,+1.97%,102.06%,-1.92%,76.58%,1.3327761817707,39.78%,46%,45.35%,66%,2026-11-05
PDD,"Pdd Holdings Inc",84.79,+0.74%,39.99%,+0.93%,30.16%,1.326074270557,62.77%,73%,29.65%,39%,2026-08-24
BILI,"Bilibili Inc ADR",17.44,+2.17%,53.86%,+0.98%,40.72%,1.3226940078585,39.67%,29%,23.21%,16%,2026-08-27
TMC,"Tmc The Metals Company",4.01,-9.07%,94.25%,-9.91%,72.51%,1.2998758791891,15.52%,7%,23.65%,24%,2026-11-12
BSX,"Boston Scientific Corp",51.83,+0.27%,36.48%,+0.02%,28.25%,1.2914654867257,46.92%,61%,28.28%,51%,2026-10-28
HPE,"Hewlett Packard Enterprise",58.71,-1.86%,73.01%,-3.24%,57.23%,1.2756805871047,46.89%,89%,53.87%,80%,2026-09-02
INDI,"Indie Semiconductor Cl A",4.71,+13.77%,129.13%,+0.08%,102.21%,1.2634086684277,76.95%,95%,78.44%,91%,2026-11-05
MSTR,"Strategy Inc",93.04,-4.18%,66.03%,-1.23%,52.47%,1.2584410139127,22.71%,24%,12.21%,8%,2026-10-29
SOC,"Sable Offshore Corp",4.15,+2.98%,126.24%,+8.02%,101.02%,1.2496535339537,39.63%,35%,21.67%,33%,2026-11-12
INTU,"Intuit Inc",345.66,-3.53%,58.29%,-4.22%,47.03%,1.2395066978524,79.40%,79%,43.44%,55%,2026-08-25
S,"Sentinelone Inc Cl A",23.11,-3.06%,62.84%,-1.32%,52.06%,1.2069880906646,52.21%,67%,76.38%,61%,2026-08-27
LAC,"Lithium Americas Corp",3.38,-1.46%,67.64%,-2.26%,56.54%,1.1962981959675,0.74%,1%,6.72%,11%,2026-11-12
PATH,"Uipath Inc Cl A",16.01,-4.02%,79.02%,-6.76%,66.33%,1.1913689130107,58.93%,70%,59.14%,76%,2026-09-03
UPST,"Upstart Holdings Inc",30.43,-1.74%,57.79%,-2.61%,49.45%,1.1686531850354,0.08%,1%,9.12%,4%,2026-11-03
RXRX,"Recursion Pharmaceuticals Inc Cl A",3.16,-4.53%,66.53%,+1.58%,56.99%,1.167396034392,2.91%,1%,17.31%,25%,2026-11-04
RBRK,"Rubrik Inc Cl A",102.23,-2.72%,74.90%,-4.16%,65.17%,1.1492419825073,55.53%,62%,60.90%,60%,2026-08-27
HIVE,"Hive Digital Technologies Ltd",2.69,+4.26%,102.52%,-9.52%,90.17%,1.1369302428746,14.83%,24%,48.76%,47%,2026-08-14
RUM,"Rum Group Inc",7.46,-1.06%,76.16%,+0.15%,67.66%,1.1256030150754,8.31%,51%,47.02%,48%,2026-11-09
VSAT,"Viasat Inc",82.87,-0.04%,77.32%,-0.37%,69.13%,1.1184883552727,23.56%,13%,22.91%,17%,2026-11-06
CIEN,"Ciena Corp",428.77,-3.17%,87.77%,+0.89%,79.12%,1.1093768958544,69.76%,69%,74.06%,75%,2026-09-03
LUNR,"Intuitive Machines Inc",19.01,+8.26%,92.30%,-11.51%,83.72%,1.1024653607262,36.28%,16%,45.76%,22%,2026-11-12
"Downloaded from Barchart.com as of 08-17-2026 12:56am CDT"
