Symbol,Name,Latest,%Change,"Imp Vol","IV Chg","30D His Vol",IV/HV,"IV Rank","IV Pctl","HV Rank","HV Pctl",Earnings
NN,"Nextnav Inc",19.17,-0.16%,98.91%,-2.07%,75.90%,1.3032068511199,36.03%,38%,44.60%,64%,2026-11-05
STLA,"Stellantis N.V.",5.05,-1.37%,46.96%,-2.93%,36.21%,1.296978735156,35.39%,37%,4.68%,8%,2026-10-29
PLUG,"Plug Power Inc",2.16,-5.26%,77.22%,+1.02%,59.65%,1.2945414920369,1.12%,1%,8.93%,6%,2026-11-09
INTU,"Intuit Inc",350.41,+4.41%,61.83%,+3.56%,48.48%,1.2753630363036,87.37%,90%,45.57%,60%,2026-08-25
PATH,"Uipath Inc Cl A",15.58,-2.56%,84.57%,-0.38%,66.84%,1.2652483542789,66.78%,79%,60.00%,76%,2026-09-03
HPE,"Hewlett Packard Enterprise",55.69,-3.33%,73.89%,+0.76%,58.42%,1.2647569325573,47.83%,90%,55.64%,81%,2026-09-02
PANW,"Palo Alto Networks",374.14,-0.43%,59.39%,+0.24%,47.10%,1.261,64.56%,86%,69.33%,71%,2026-09-01
MSTR,"Strategy Inc",92.52,-5.28%,68.37%,-0.01%,55.78%,1.2257188956615,25.90%,34%,16.83%,19%,2026-10-29
ZIM,"Zim Integrated Shipping Services Ltd",28.49,-1.11%,51.89%,+16.35%,42.48%,1.2214854048964,18.49%,42%,39.35%,41%,2026-08-19
UEC,"Uranium Energy",10.96,-1.88%,63.89%,+2.82%,52.47%,1.2177053554412,5.46%,1%,2.15%,0%,2026-09-23
NUAI,"New Era Energy & Digital Inc",5.13,-6.04%,155.92%,-11.87%,128.31%,1.2152131556387,38.20%,40%,18.13%,35%,2026-11-12
SPCE,"Virgin Galactic Holdings Inc",3.19,+1.92%,80.43%,-6.58%,67.15%,1.1978257632167,0.00%,0%,13.99%,35%,2026-11-12
ASST,"Strive Inc",12.8,-3.03%,82.60%,-3.21%,69.12%,1.195033275463,0.00%,2%,1.82%,0%,2026-11-09
UPST,"Upstart Holdings Inc",29.11,-2.15%,58.13%,+2.75%,48.98%,1.186829318089,4.63%,2%,8.06%,4%,2026-11-03
DGXX,"Digi Power X Inc",3.58,-7.73%,106.08%,+1.63%,89.61%,1.1837964512889,1.51%,1%,19.35%,16%,2026-11-12
INDI,"Indie Semiconductor Cl A",4.34,-7.86%,114.98%,-4.80%,97.47%,1.1796244998461,57.84%,77%,71.48%,80%,2026-11-05
BYND,"Beyond Meat Inc",12.74,+9.54%,121.70%,-1.30%,103.59%,1.1747948643691,9.29%,12%,12.78%,56%,2026-11-09
S,"Sentinelone Inc Cl A",22.49,+3.07%,64.62%,+0.10%,55.22%,1.1702806954002,55.60%,74%,85.80%,86%,2026-08-27
IBRX,"Immunitybio Inc",7.72,-2.53%,69.31%,+10.35%,59.56%,1.1636551376763,8.35%,2%,13.39%,20%,2026-11-03
RUM,"Rum Group Inc",8.1,-1.70%,80.68%,+0.12%,69.69%,1.157705553164,10.53%,61%,49.87%,56%,2026-11-09
TMC,"Tmc The Metals Company",3.92,+3.98%,84.93%,-1.06%,74.27%,1.1435519052107,2.89%,2%,25.97%,27%,2026-11-12
PCT,"Purecycle Technologies Inc",6.88,-4.64%,88.64%,-4.52%,78.47%,1.1296661144386,52.78%,37%,54.38%,48%,2026-11-05
CRML,"Critical Metals Corp",6.15,-6.39%,104.61%,+4.15%,92.62%,1.1293996976895,11.01%,10%,9.32%,24%,N/A
LUNR,"Intuitive Machines Inc",19.31,-5.25%,94.16%,-4.04%,85.24%,1.1046597841389,38.20%,18%,47.05%,24%,2026-11-12
"Downloaded from Barchart.com as of 08-18-2026 08:29pm CDT"
