Symbol,Name,Latest,Change,%Change,"Options Vol","P/C Vol","30D His Vol","Imp Vol","IV Rank","IV Pctl",Earnings
NLY,"Annaly Capital Management Inc",23.74,0.34,+1.45%,10910,0.47751895991333,16.84%,15.55%,4.75%,3%,2026-10-28
ASPI,"Asp Isotopes Inc",4.09,0.23,+5.96%,9666,0.066298952013238,87.54%,91.98%,4.75%,2%,2026-11-18
DNN,"Denison Mines Corp",3.22,0.07,+2.22%,6773,0.0063893016344725,57.27%,60.23%,4.97%,4%,2026-11-05
BAC,"Bank of America Corp",63.17,-1.06,-1.65%,150383,0.45728433823672,16.21%,19.94%,4.97%,2%,2026-10-21
JPM,"JP Morgan Chase & Company",357.26,-5.99,-1.65%,58819,0.61577342526715,18.40%,19.92%,5.06%,2%,2026-10-13
RUN,"Sunrun Inc",9.8,0.54,+5.83%,21028,0.14525352649638,67.41%,63.89%,5.27%,1%,2026-11-05
WFC,"Wells Fargo & Company",85.94,-1.46,-1.67%,42288,1.2189106936719,22.43%,22.99%,5.62%,3%,2026-10-13
OCUL,"Ocular Therapeut",11.73,0.72,+6.54%,8309,0.059010960999235,54.09%,64.03%,5.69%,3%,2026-11-03
LYB,"Lyondellbasell Industries NV",66.06,0.73,+1.12%,5405,0.16864864864865,34.88%,39.25%,5.77%,2%,2026-10-30
BTG,"B2Gold Corp",5.27,0.29,+5.82%,17868,0.087655222790358,69.76%,49.20%,5.81%,11%,2026-11-04
WYFI,"Whitefiber Inc",21.38,-5.69,-21.02%,29168,0.41992016356733,149.78%,107.08%,5.84%,4%,2026-11-12
RDDT,"Reddit Cl A",151.71,-6.54,-4.13%,63988,0.49725062592133,98.33%,57.26%,5.97%,3%,2026-10-29
BE,"Bloom Energy Corp Cl A",206.63,-2.38,-1.14%,102914,0.88049774334424,125.76%,86.96%,6.16%,3%,2026-10-27
UNH,"Unitedhealth Group",388.61,-5.32,-1.35%,62188,0.98512465285536,22.76%,27.77%,6.46%,6%,2026-10-27
ONON,"On Holding Ag Cl A",31.26,0.23,+0.74%,7464,0.76955903271693,74.81%,38.13%,6.51%,9%,2026-11-11
IOVA,"Iovance Biotherapeutics Inc",7.99,0.96,+13.66%,31087,0.12077730107798,136.93%,98.28%,6.54%,16%,2026-11-05
AMLX,"Amylyx Pharmaceuticals Inc",38.6,3.49,+9.94%,13954,0.33787152444871,153.22%,58.36%,6.80%,2%,2026-11-05
ZIM,"Zim Integrated Shipping Services Ltd",27.41,-1.08,-3.79%,11870,0.3159645232816,43.82%,39.50%,6.81%,11%,2026-08-19
UTHR,"United Therapeutic",529.14,10.87,+2.10%,37684,0.0026340295330584,21.32%,32.47%,6.89%,16%,2026-11-04
QUBT,"Quantum Computing Inc",8.42,-0.1,-1.17%,13207,0.31556927980875,69.90%,68.68%,6.99%,1%,2026-11-13
UPS,"United Parcel Service",102.86,0.93,+0.91%,14179,0.53552090101798,33.80%,23.25%,7.10%,4%,2026-10-27
TLRY,"Tilray Brands Inc",4.83,0.36,+8.05%,12114,0.11990385504299,52.44%,69.33%,7.12%,5%,2026-10-08
ALT,"Altimmune Inc",3.12,0.15,+5.05%,11588,0.092692126355493,42.52%,76.09%,7.28%,20%,2026-11-05
UEC,"Uranium Energy",11.63,0.67,+6.11%,10894,0.19674832472811,54.81%,64.84%,7.28%,2%,2026-09-23
OPEN,"Opendoor Technologies Inc",3.58,0.22,+6.55%,83540,0.1848636995433,83.06%,76.36%,7.41%,7%,2026-11-05
UPST,"Upstart Holdings Inc",30.6,1.49,+5.12%,21669,0.39278827612804,50.28%,59.83%,7.50%,2%,2026-11-03
MGM,"MGM Resorts International",43.22,-0.1,-0.23%,5419,1.1710737179487,19.41%,28.80%,7.56%,2%,2026-11-04
OMER,"Omeros Corp",18.39,1.2,+6.98%,5890,0.099495986559642,93.27%,72.72%,7.84%,13%,2026-11-12
PGEN,"Precigen Inc",7.16,0.41,+6.07%,35039,0.0030056678307666,63.49%,66.42%,7.97%,2%,2026-11-12
ABCL,"Abcellera Biologics Inc",12.01,0.89,+8.00%,20718,0.10102566827868,113.33%,95.93%,8.20%,30%,2026-11-05
LVS,"Las Vegas Sands",46.58,1.11,+2.44%,4986,1.8770917484132,25.01%,28.72%,8.26%,5%,2026-10-28
BKNG,"Booking Holdings",213,4.75,+2.28%,13043,0.83626636632409,40.13%,24.59%,8.30%,18%,2026-10-27
JMIA,"Jumia Technologies Ag ADR",6.73,0.39,+6.15%,4912,0.57385453380327,58.24%,72.50%,8.60%,2%,2026-11-11
RXT,"Rackspace Technology Inc",3.42,-0.1,-2.84%,6488,0.31923546156974,162.86%,119.33%,8.63%,20%,2026-11-05
W,"Wayfair Inc",107.8,6.11,+6.01%,7379,0.3922641509434,96.07%,53.24%,8.67%,4%,2026-10-27
DXCM,"Dexcom Inc",89.88,0.28,+0.31%,6090,0.4087439278279,50.54%,32.57%,8.80%,3%,2026-10-29
NVAX,"Novavax Inc",8.79,0.86,+10.84%,46245,0.079305435619763,46.12%,71.99%,8.81%,19%,2026-11-05
TMC,"Tmc The Metals Company",3.97,0.05,+1.28%,14026,0.042902818053387,74.36%,89.35%,8.88%,4%,2026-11-12
PBR,"Petroleo Brasileiro S.A. Petrobras ADR",18.54,0.36,+1.98%,40173,0.47494217424827,30.50%,32.00%,8.90%,25%,2026-11-05
HIVE,"Hive Digital Technologies Ltd",2.82,0.04,+1.44%,14419,0.14855822845308,99.97%,94.50%,9.00%,8%,2026-11-13
ABR,"Arbor Realty Trust",5.17,0.27,+5.51%,10176,1.6314972847168,38.07%,41.23%,9.03%,32%,2026-10-30
BMNR,"Bitmine Immersion Technologies",20.24,1.96,+10.72%,294791,0.37433623780286,76.71%,75.40%,9.04%,6%,2025-11-21
MP,"MP Materials Corp",56.68,0.01,+0.02%,14746,0.44724703111198,72.30%,66.17%,9.09%,6%,2026-11-05
IBRX,"Immunitybio Inc",8.13,0.41,+5.31%,28616,0.044379562043796,61.64%,70.39%,9.23%,3%,2026-11-03
SM,"Sm Energy Company",36.14,0.65,+1.83%,5758,0.14314075838793,59.40%,48.89%,9.31%,6%,2026-11-02
SOUN,"Soundhound AI Inc Cl A",7.16,0.17,+2.43%,49391,0.17407530664638,71.53%,68.00%,9.32%,2%,2026-11-05
SRPT,"Sarepta Therapeutics",19.73,1.71,+9.49%,5158,0.11044133476857,55.89%,62.38%,9.34%,12%,2026-11-02
APP,"Applovin Corp Cl A",310.79,3.53,+1.15%,29482,1.1039035181617,81.51%,53.49%,9.53%,8%,2026-11-04
VALE,"Vale S.A. ADR",13.9,0.22,+1.61%,44201,0.56480334194782,30.19%,30.09%,9.54%,26%,2026-10-29
FIGR,"Figure Technology Solutions Inc Cl A",36.85,1.33,+3.74%,31228,0.81252539323234,81.08%,79.16%,9.79%,7%,2026-11-12
CBRS,"Cerebras Systems Cl A",215.69,-4.32,-1.96%,80989,0.38390690680428,133.33%,95.53%,10.03%,2%,2026-11-11
TOST,"Toast Inc Cl A",35.16,0.21,+0.60%,10466,0.48075834748161,36.33%,39.25%,10.04%,10%,2026-11-03
AXP,"American Express Company",339.9,1.38,+0.41%,8281,1.3157158836689,24.64%,23.26%,10.11%,5%,2026-10-16
BYND,"Beyond Meat Inc",14.08,1.34,+10.52%,23881,0.22535789419673,108.58%,125.51%,10.38%,13%,2026-11-09
APLD,"Applied Digital Corp",28.23,-0.28,-0.98%,66629,0.29939349025879,99.03%,85.82%,10.39%,3%,2026-10-08
GGAL,"Grupo Fin Galicia ADR",41.47,-0.65,-1.54%,6133,53.758928571429,49.79%,52.53%,10.40%,27%,2026-08-25
CRML,"Critical Metals Corp",6.17,0.02,+0.33%,15996,0.095616438356164,92.49%,103.75%,10.42%,9%,N/A
MNST,"Monster Beverage Corp",47.43,0.05,+0.11%,8303,0.4834732892621,28.36%,22.06%,10.52%,18%,2026-11-05
LCID,"Lucid Group Inc",5.92,0.15,+2.60%,18494,0.62014892685064,135.73%,80.32%,10.74%,16%,2026-11-04
DASH,"Doordash Cl A",220.22,3.87,+1.79%,11572,1.4449609127403,40.28%,38.43%,10.81%,17%,2026-11-04
NXE,"Nexgen Energy Ltd",10.56,0.3,+2.92%,23643,0.50890292935095,46.61%,59.45%,10.82%,6%,2026-11-04
IONQ,"Ionq Inc",43.36,-0.76,-1.72%,49961,0.51135916749856,82.99%,75.80%,10.94%,7%,2026-11-04
JOBY,"Joby Aviation Inc",7.72,0.07,+0.92%,16019,0.39879497031086,70.69%,69.31%,11.11%,2%,2026-11-04
ABVX,"Abivax Sa ADR",120.56,1.62,+1.36%,6507,0.37801778907243,35.81%,59.47%,11.20%,11%,2026-09-14
CORZ,"Core Scientific Inc",18.72,-0.13,-0.69%,43952,0.67340567294879,97.49%,73.29%,11.42%,10%,2026-10-23
BKSY,"Blacksky Technology Inc",27.9,-1.04,-3.59%,6208,0.036048064085447,79.71%,80.98%,11.45%,6%,2026-11-05
USB,"U.S. Bancorp",62.82,-1.97,-3.04%,6985,0.71200980392157,18.14%,21.27%,11.52%,8%,2026-10-15
SERV,"Serve Robotics Inc",4.78,0.23,+5.05%,9440,0.52282626230037,82.51%,86.95%,11.56%,9%,2026-11-11
EOSE,"Eos Energy Enterprises Inc",3.74,0.07,+1.91%,23362,0.16640870737431,103.12%,98.39%,11.67%,14%,2026-11-04
C,"Citigroup Inc",132.89,-4.76,-3.46%,49189,0.70239496089153,31.55%,27.85%,11.94%,15%,2026-10-13
WBD,"Discovery Inc Series A",28.53,0.05,+0.18%,85211,0.58158397832099,22.01%,21.89%,11.97%,29%,2026-11-05
RUM,"Rum Group Inc",8.32,0.22,+2.72%,7635,0.1526268115942,69.85%,83.64%,11.99%,63%,2026-11-09
JD,"Jd.com Inc ADR",29.35,0.53,+1.84%,22955,0.39349238147271,34.05%,29.60%,12.05%,7%,2026-11-12
PYPL,"Paypal Holdings",61.25,0.82,+1.36%,28148,0.20306022139591,49.18%,31.11%,12.07%,19%,2026-10-27
RXRX,"Recursion Pharmaceuticals Inc Cl A",3.5,0.41,+13.27%,59232,0.027227636918595,66.03%,81.40%,12.16%,20%,2026-11-04
SNAP,"Snap Inc",5.24,0.13,+2.54%,52596,0.21161022805805,62.59%,50.06%,12.16%,17%,2026-11-04
JBLU,"Jetblue Airways Corp",4.9,-0.14,-2.78%,49366,0.45515106853353,65.68%,57.00%,12.16%,6%,2026-10-27
MBLY,"Mobileye Global Inc Cl A",9.1,0.23,+2.59%,11923,0.24327424400417,71.12%,54.53%,12.24%,14%,2026-10-22
CCL,"Carnival Corporation Ltd",26.69,-0.58,-2.13%,23373,1.1146295123496,34.77%,37.74%,12.57%,6%,2026-10-05
CCJ,"Cameco Corp",97.98,1.95,+2.03%,12205,0.30856652728637,40.18%,43.46%,12.71%,6%,2026-11-04
AGNC,"Agnc Investment Corp",11.08,0.16,+1.47%,13641,0.45924261874198,22.01%,20.17%,12.80%,14%,2026-10-19
TRIP,"Tripadvisor Inc",10.4,0.17,+1.66%,6756,0.049720323182101,94.69%,52.37%,12.90%,27%,2026-11-05
CVS,"CVS Corp",93.65,-1.26,-1.33%,14313,0.70697674418605,28.72%,25.99%,12.98%,11%,2026-11-04
SIRI,"Siriusxm Holdings Inc",28.67,0.05,+0.17%,7297,0.79067484662577,33.97%,31.99%,13.07%,10%,2026-10-29
DUOL,"Duolingo Inc Cl A",146.03,6.39,+4.58%,7315,0.79641453831041,72.97%,59.15%,13.10%,12%,2026-11-04
CIFR,"Cipher Digital Inc",15.89,-0.2,-1.27%,199584,0.18784444894121,146.50%,102.48%,13.14%,14%,2026-11-02
TEVA,"Teva Pharmaceutical Industries ADR",37.47,0.89,+2.43%,11647,0.098669936798415,36.69%,33.78%,13.20%,10%,2026-11-04
ELF,"E.L.F. Beauty Inc",99.65,7.14,+7.72%,26394,0.28288130650335,56.15%,53.42%,13.35%,14%,2026-11-04
HAL,"Halliburton Company",35.02,0.36,+1.04%,17364,1.5758789497107,35.45%,32.74%,13.55%,8%,2026-10-20
SHOP,"Shopify Inc",146.58,0,0.00%,23336,0.64500211476103,69.66%,43.48%,13.60%,16%,2026-11-03
SBET,"Sharplink Inc",7.08,0.79,+12.56%,60189,0.05919929608447,69.85%,74.73%,13.63%,3%,2026-11-11
DNUT,"Krispy Kreme Inc",3.5,0.26,+8.02%,7520,0.079994255349706,47.98%,72.14%,13.67%,18%,2026-11-05
OSCR,"Oscar Health Inc Cl A",32.3,1.02,+3.26%,11172,0.25782481423103,66.28%,64.98%,13.83%,8%,2026-11-05
ABNB,"Airbnb Inc Cl A",186.39,3.14,+1.71%,17367,0.66589928057554,53.97%,28.59%,14.32%,11%,2026-11-05
TSLA,"Tesla Inc",351.12,14.25,+4.23%,2937486,0.68321680164936,56.27%,41.57%,14.47%,7%,2026-10-28
WOLF,"Wolfspeed Inc",29.09,-2.37,-7.53%,40067,0.59546848245928,131.69%,127.30%,14.60%,57%,2026-08-19
FSLR,"First Solar Inc",222.4,2.39,+1.09%,5643,0.80057434588385,50.07%,49.69%,14.63%,16%,2026-10-29
VET,"Vermilion Energy Inc",12.56,0.33,+2.70%,5329,0.013503233168505,52.31%,45.56%,14.96%,10%,2026-11-04
CPB,"The Campbell's Company",23.81,0.95,+4.16%,10611,0.34299455765093,32.72%,31.65%,15.00%,30%,2026-09-03
GOOGL,"Alphabet Cl A",344.72,0.52,+0.15%,410807,0.35915395100777,42.62%,28.30%,15.06%,9%,2026-11-04
BULL,"Webull Corp Cl A",8.64,0.71,+8.95%,223543,0.1928082429339,52.11%,66.19%,15.11%,14%,2026-08-19
WEN,"Wendys Company",8.93,0.49,+5.81%,46359,0.078341978553651,63.28%,50.03%,15.11%,53%,2026-11-06
PLTR,"Palantir Technologies Cl A",175.19,3.65,+2.13%,426643,0.62469392495783,89.33%,45.85%,15.17%,7%,2026-11-02
HYMC,"Hycroft Mining Holding Corp",27.9,3.71,+15.34%,8016,0.13076597545493,94.92%,91.73%,15.20%,4%,2026-10-27
AXTI,"Axt Inc",73.43,-8.88,-10.79%,37880,0.38066773582155,189.83%,118.96%,15.29%,7%,2026-10-29
LUV,"Southwest Airlines Company",41.42,-1.07,-2.52%,15429,0.28211733421971,39.38%,36.50%,15.40%,10%,2026-10-28
CRWV,"Coreweave Cl A",90.87,-2.3,-2.47%,260651,0.89605732159744,122.73%,77.28%,15.51%,7%,2026-11-09
PURR,"Hyperliquid Strategies Inc",9.39,2.19,+30.42%,131164,0.06363275136437,98.45%,125.48%,15.79%,78%,2026-08-19
IEP,"Icahn Enterprises",6.65,-0.18,-2.64%,5089,0.21921418303785,28.68%,33.38%,16.35%,10%,2026-11-04
NRGV,"Energy Vault Holdings",3.86,0.21,+5.75%,7063,0.074874448333587,112.08%,109.08%,16.46%,5%,2026-11-09
GOOG,"Alphabet Cl C",341.7,0.42,+0.12%,108677,0.49891040494318,41.70%,28.33%,16.49%,11%,2026-11-04
NIO,"Nio Inc ADR",4.58,0.05,+1.10%,58539,0.39169816703516,30.22%,55.79%,16.68%,11%,2026-09-01
EYPT,"Eyepoint Inc",6.3,0.83,+15.17%,9232,0.33141044130372,329.36%,107.67%,16.86%,61%,2026-11-04
REAL,"The Realreal Inc",11.78,0.73,+6.61%,22163,0.0039864099660249,44.98%,69.20%,16.94%,16%,2026-11-09
PONY,"Pony AI Inc ADR",7.83,0.09,+1.10%,28719,0.086729481212396,44.03%,81.81%,16.96%,25%,2026-08-18
AAL,"American Airlines Gp",13.86,-0.19,-1.35%,67962,1.0617036767383,53.19%,44.23%,17.32%,11%,2026-10-22
GE,"GE Aerospace",356.23,-18.86,-5.03%,14917,0.85304347826087,30.63%,29.21%,17.34%,21%,2026-10-20
CLS,"Celestica Inc",301.36,-9.23,-2.97%,12133,0.60829798515376,92.91%,62.61%,17.57%,7%,2026-10-26
BB,"Blackberry Ltd",8.34,-0.24,-2.80%,13187,0.41430716430716,59.20%,59.39%,17.58%,36%,2026-09-24
PINS,"Pinterest Inc",23.39,0.33,+1.43%,7562,0.58399664851278,47.95%,40.91%,17.60%,23%,2026-11-03
TSM,"Taiwan Semiconductor ADR",412.09,-1.32,-0.32%,111476,1.1187113940891,38.32%,34.04%,17.62%,12%,2026-10-15
AS,"Amer Sports Inc",34.02,0.4,+1.19%,42135,0.056624119166437,37.62%,42.91%,17.67%,12%,2026-08-18
ACHR,"Archer Aviation Inc",6.45,0.13,+2.06%,28851,0.1749063365369,96.76%,70.34%,17.67%,11%,2026-11-05
NVTS,"Navitas Semiconductor Corp",12.83,-0.34,-2.58%,28068,0.36557361097597,103.76%,94.20%,17.67%,20%,2026-11-02
SLB,"Slb Limited",53.55,0.34,+0.64%,10269,0.63519108280255,41.51%,31.44%,17.68%,14%,2026-10-16
PG,"Procter & Gamble",144.38,0.93,+0.65%,17875,0.56004538313842,16.15%,18.79%,17.85%,22%,2026-10-23
ROIV,"Roivant Sciences Ltd",37.4,0.03,+0.08%,43914,0.0040010059672146,34.50%,41.77%,17.85%,16%,2026-11-09
WULF,"Terawulf Inc",15.5,-0.12,-0.77%,178781,0.18567619906621,93.29%,88.63%,17.98%,12%,2026-11-09
DJT,"Trump Media & Technology Group Corp",8.35,0.29,+3.60%,14626,0.27493026499303,66.82%,62.37%,17.99%,29%,2026-08-10
DIS,"Walt Disney Company",106.93,2.98,+2.87%,38299,0.52203632317291,28.06%,23.40%,18.43%,18%,2026-11-12
ENPH,"Enphase Energy Inc",39.37,1.79,+4.76%,17514,0.50051405071967,63.36%,64.07%,18.48%,20%,2026-10-27
EL,"Estee Lauder Companies",98.01,13.74,+16.30%,20796,0.53001765744556,49.46%,36.13%,18.62%,10%,2026-08-19
BIDU,"Baidu Inc ADR",92.87,2,+2.20%,42509,0.77483194856165,47.78%,40.06%,18.67%,10%,2026-08-18
MTCH,"Match Group Inc",39.7,1.01,+2.61%,8980,0.056346312198565,38.78%,32.20%,18.72%,28%,2026-11-03
TIGR,"Up Fintech Holding Ltd ADR",4.84,0.06,+1.26%,5914,0.29494197503832,35.77%,60.00%,18.81%,36%,2026-08-26
MRVI,"Maravai Lifesciences Holdings Inc Cl A",7.22,1.48,+25.78%,10441,0.011039023917885,78.09%,102.03%,18.89%,14%,2026-11-05
LUMN,"Lumen Technologies Inc",6.13,0,0.00%,7395,0.49878394811512,58.60%,65.73%,19.07%,8%,2026-10-29
AMPL,"Amplitude Inc Cl A",12.83,0.24,+1.91%,10281,0.0002918856,67.21%,60.60%,19.09%,25%,2026-11-04
AA,"Alcoa Corp",51.54,1.52,+3.04%,21684,0.28414070827905,48.03%,49.19%,19.29%,13%,2026-10-28
CLF,"Cleveland-Cliffs Inc",11.17,-0.71,-5.98%,73847,1.3503182686187,68.95%,58.90%,19.40%,13%,2026-10-19
GLXY,"Galaxy Digital Holdings",21.9,1.47,+7.20%,63221,1.1966990965949,103.68%,81.95%,19.56%,12%,2026-10-20
NTLA,"Intellia Thera CS",13.28,1.68,+14.48%,7828,0.11525858384385,76.15%,87.34%,19.60%,37%,2026-11-05
MPT,"Medical Properties Trust Inc",4.16,0.14,+3.48%,8677,0.72299444003177,46.29%,38.27%,19.65%,42%,2026-10-29
ANET,"Arista Networks Inc",186.45,-6.73,-3.48%,29779,0.92246610716591,54.56%,47.79%,19.71%,25%,2026-11-03
SEDG,"Solaredge Tech",32.6,2.78,+9.32%,30134,0.38802395209581,128.65%,79.34%,19.75%,6%,2026-11-04
CVNA,"Carvana Company Cl A",70.44,5.44,+8.37%,86908,1.3885667170537,67.46%,57.23%,19.97%,25%,2026-11-04
MTA,"Metalla Royalty and Streaming Ltd",10.89,1.12,+11.46%,5331,0.034342258440047,52.56%,57.92%,20.00%,20%,2026-11-12
