Symbol,Name,Latest,Change,%Change,"IV Rank","Options Vol","1M Vol %Chg","Put Vol","Call Vol","Total OI"
CAR,"Avis Budget Group",137.85,0.86,+0.63%,5.81%,4914,+5.18%,4305,609,139900
PANW,"Palo Alto Networks",384.27,-11.73,-2.96%,61.63%,31180,+5.10%,17699,13481,624091
CNC,"Centene Corp",67.47,1.43,+2.17%,4.79%,7924,+5.08%,1150,6774,307107
PINS,"Pinterest Inc",24.06,0.74,+3.17%,18.82%,17612,+4.91%,5938,11674,341493
NET,"Cloudflare Inc Cl A",315.78,-15.05,-4.55%,21.04%,17734,+3.83%,7653,10081,236396
FDX,"Fedex Corp",334.64,-4.71,-1.39%,20.61%,5326,+3.64%,2110,3216,103943
RDW,"Redwire Corp",13.58,0.38,+2.88%,24.88%,29951,+3.47%,6035,23916,389187
PLUG,"Plug Power Inc",2.32,0.02,+0.87%,4.62%,30278,+2.95%,2519,27759,913016
INOD,"Innodata Inc",63.85,1.72,+2.77%,23.62%,6412,+2.46%,1440,4972,70574
PATH,"Uipath Inc Cl A",16.01,-0.67,-4.02%,58.93%,47198,+1.76%,15568,31630,731278
BTU,"Peabody Energy Corp",25.48,1.39,+5.77%,8.48%,5401,+1.29%,1290,4111,167801
ASST,"Strive Inc",12.31,-0.27,-2.11%,1.05%,12200,+1.00%,2744,9456,1670413
SBSW,"Sibanye Gold Ltd ADR",10.77,0.29,+2.77%,51.34%,5187,+0.64%,1767,3420,222440
NRGV,"Energy Vault Holdings",3.79,0.1,+2.71%,14.22%,4998,+0.50%,42,4956,196311
QCOM,"Qualcomm Inc",165.79,1,+0.61%,27.73%,80185,+0.22%,22948,57237,1014550
WMT,"Walmart Inc",115.27,-0.45,-0.39%,58.35%,97708,-0.04%,41558,56150,1116406
ASPI,"Asp Isotopes Inc",4.27,-0.01,-0.23%,20.14%,4800,-0.10%,878,3922,178679
MRK,"Merck & Company",135.84,0.29,+0.21%,32.63%,23012,-0.49%,5575,17437,475805
VKTX,"Viking Thera",33.19,0.25,+0.76%,19.00%,9191,-0.77%,2014,7177,234340
BMNR,"Bitmine Immersion Technologies",18.08,-0.21,-1.15%,0.80%,118684,-1.06%,38036,80648,1628091
IOVA,"Iovance Biotherapeutics Inc",6.98,0.46,+7.06%,6.29%,14840,-1.58%,3190,11650,286192
CHWY,"Chewy Inc",22.42,-0.04,-0.18%,58.30%,11062,-1.74%,8388,2674,249251
DIS,"Walt Disney Company",106.85,2.05,+1.96%,13.59%,48714,-1.92%,14472,34242,715200
CLOV,"Clover Health Investments Corp",4.6,0.11,+2.45%,2.00%,16620,-2.46%,8766,7854,356515
CVS,"CVS Corp",97.16,2.17,+2.28%,11.73%,21260,-3.24%,6955,14305,354030
KLAC,"K L A-Tencor Corp",203.72,-5.65,-2.70%,38.27%,16353,-3.40%,8572,7781,504495
QBTS,"D-Wave Quantum Inc",21.17,0.27,+1.29%,1.97%,40218,-3.51%,9784,30434,583365
W,"Wayfair Inc",101.63,0.5,+0.49%,13.23%,9306,-3.52%,2146,7160,195470
GRAB,"Grab Holdings Ltd Cl A",3.62,-0.08,-2.16%,19.93%,27011,-3.54%,7510,19501,1555222
DELL,"Dell Technologies Inc",490.81,-3.7,-0.75%,76.62%,78412,-3.66%,40011,38401,751112
METC,"Ramaco Resources Inc",12.25,1.72,+16.33%,0.00%,7729,-3.66%,1524,6205,105206
CRDO,"Credo Technology Group Holding",259.9,-6.09,-2.29%,52.28%,18905,-3.75%,9738,9167,225463
AFRM,"Affirm Holdings Inc Cl A",78.35,0.03,+0.04%,48.53%,13061,-3.76%,6029,7032,251384
PLTR,"Palantir Technologies Cl A",174.04,-4.97,-2.78%,10.77%,574475,-3.85%,284815,289660,3959594
DOCU,"Docusign Inc",62.04,-2.05,-3.20%,70.68%,7665,-3.96%,2228,5437,161680
BIRK,"Birkenstock Holding Plc",39.35,-1.65,-4.02%,28.45%,4616,-4.13%,846,3770,88495
FSLY,"Fastly Inc",29.93,-0.09,-0.30%,18.23%,9775,-4.29%,2504,7271,188497
AUR,"Aurora Innovation Inc Cl A",6.99,0.15,+2.19%,0.55%,9273,-4.47%,2311,6962,493739
HTZ,"Hertz Global Holdings Inc",2.24,-0.11,-4.48%,44.54%,174963,-4.92%,42008,132955,1889452
ASML,"ASML Holding NV",1844.08,-3.82,-0.21%,40.07%,21115,-4.99%,11835,9280,205356
GAP,"Gap Inc",20.6,0.21,+1.03%,49.17%,5480,-5.35%,2332,3148,170831
GE,"GE Aerospace",368.38,7.74,+2.15%,10.92%,13452,-5.36%,8321,5131,201057
RBLX,"Roblox Corp Cl A",38.23,0.28,+0.74%,28.49%,30709,-6.57%,8748,21961,442105
SEDG,"Solaredge Tech",32.42,0.24,+0.75%,23.93%,8841,-6.77%,2835,6006,237092
CDE,"Coeur Mining Inc",18.81,0.36,+1.95%,19.55%,19721,-7.39%,3847,15874,581512
ASTS,"Ast Spacemobile Inc",70.98,-0.54,-0.76%,4.71%,124194,-7.60%,33759,90435,1265516
NVDA,"Nvidia Corp",225.16,-0.14,-0.06%,25.47%,3288442,-7.63%,1150320,2138122,14785160
KTOS,"Kratos Defense & Security Inc",64.58,1.79,+2.85%,21.17%,10161,-7.85%,2092,8069,150189
JPM,"JP Morgan Chase & Company",362.84,-0.27,-0.07%,0.00%,47327,-8.00%,21725,25602,708119
VIAV,"Viavi Solutions",43.54,0.55,+1.28%,52.33%,4310,-8.06%,236,4074,121559
BROS,"Dutch Bros Inc Cl A",52.02,0.89,+1.74%,0.23%,6496,-8.57%,2890,3606,84283
ANET,"Arista Networks Inc",198.82,-4.8,-2.36%,27.23%,24331,-9.01%,10246,14085,327522
KO,"Coca-Cola Company",87.71,0.29,+0.33%,42.12%,52159,-9.21%,8770,43389,771435
RIVN,"Rivian Automotive Cl A",15.36,-0.46,-2.91%,8.60%,91912,-9.37%,25168,66744,2292198
DUOL,"Duolingo Inc Cl A",132.83,-11.27,-7.82%,5.19%,5672,-9.57%,2898,2774,96714
SMR,"Nuscale Power Corp",9.39,-0.46,-4.67%,9.52%,36903,-9.66%,13593,23310,547577
FLY,"Firefly Aerospace Inc",26.67,-0.1,-0.37%,31.24%,11140,-9.68%,2694,8446,216446
CG,"The Carlyle Group",49.28,-2.13,-4.14%,23.70%,11349,-9.78%,560,10789,376457
APH,"Amphenol Corp",167.11,1.36,+0.82%,35.99%,5840,-9.78%,1218,4622,148399
KGC,"Kinross Gold Corp",27.31,0.46,+1.71%,35.37%,4899,-10.29%,1430,3469,196813
T,"AT&T Inc",24.89,0.31,+1.26%,25.27%,83972,-10.49%,36885,47087,1211624
NFLX,"Netflix Inc",78.16,-0.08,-0.10%,24.27%,392031,-10.61%,121108,270923,5740310
CMG,"Chipotle Mexican Grill",33.5,0.89,+2.73%,23.86%,56347,-10.72%,16777,39570,931258
PM,"Philip Morris International",190.39,1.48,+0.78%,28.08%,6110,-10.87%,2296,3814,150167
LYFT,"Lyft Inc Cl A",17.48,0.35,+2.04%,7.05%,22649,-11.30%,6314,16335,602563
UAMY,"United States Antimony Corp",5.51,0.17,+3.18%,0.60%,9142,-11.43%,3259,5883,257850
HPE,"Hewlett Packard Enterprise",58.71,-1.11,-1.86%,46.89%,40863,-11.58%,8603,32260,614463
SLB,"Slb Limited",53.77,1.71,+3.28%,18.05%,15489,-11.63%,5470,10019,756748
RXT,"Rackspace Technology Inc",4.21,-0.09,-2.09%,9.41%,8128,-11.82%,1911,6217,215324
RIOT,"Riot Platforms Inc",19.01,-0.19,-1.02%,27.86%,91829,-12.19%,18829,73000,1004687
WMB,"Williams Companies",75.2,2.16,+2.96%,49.06%,7936,-12.41%,1249,6687,393557
IREN,"Iren Limited",44.06,-0.7,-1.56%,20.77%,270404,-12.69%,75103,195301,2890723
SERV,"Serve Robotics Inc",4.99,0.05,+1.01%,11.13%,10335,-12.90%,4199,6136,191252
WBD,"Discovery Inc Series A",27.99,0.24,+0.86%,7.08%,106244,-12.93%,81444,24800,2985335
NEE,"Nextera Energy",86.19,0.18,+0.21%,0.00%,13972,-13.25%,7093,6879,483811
INTC,"Intel Corp",102.5,-2.06,-1.97%,38.71%,708675,-13.37%,229208,479467,6051960
GS,"Goldman Sachs Group",1039.42,-3.21,-0.31%,22.36%,33842,-13.39%,21642,12200,493025
ALAB,"Astera Labs Inc",321.61,-1.17,-0.36%,30.88%,21898,-13.85%,9776,12122,272875
CRM,"Salesforce Inc",196.21,-5.16,-2.56%,62.99%,56362,-13.93%,26398,29964,996825
USB,"U.S. Bancorp",65.42,0.25,+0.38%,0.14%,5324,-14.06%,1482,3842,213250
C,"Citigroup Inc",139.33,0.6,+0.43%,5.46%,38456,-14.08%,15905,22551,1091199
BTG,"B2Gold Corp",5.14,0.07,+1.38%,6.21%,15409,-14.13%,378,15031,695877
MRVL,"Marvell Technology Inc",222.02,-0.16,-0.07%,52.99%,147961,-14.36%,49426,98535,1716233
NCLH,"Norwegian Cruise Ord",19.01,-0.54,-2.76%,16.80%,15271,-14.37%,7604,7667,555389
FSLR,"First Solar Inc",225.56,1.87,+0.84%,20.86%,22488,-14.50%,9508,12980,640832
PCG,"Pacific Gas & Electric Company",17.84,0.38,+2.18%,69.53%,68830,-14.69%,15130,53700,1870627
TE,"T1 Energy Inc",5.11,0.32,+6.68%,11.37%,39983,-14.81%,13397,26586,554601
QUBT,"Quantum Computing Inc",9.01,0.09,+1.01%,0.00%,23152,-14.94%,6813,16339,502530
GME,"Gamestop Corp",18.66,0.09,+0.48%,32.28%,98211,-15.09%,17673,80538,2202701
ARM,"Arm Holdings Plc ADR",279.44,0.79,+0.28%,38.51%,53145,-15.53%,30033,23112,837185
IONQ,"Ionq Inc",46.26,1.28,+2.85%,18.55%,66906,-15.68%,23006,43900,780586
RKLB,"Rocket Lab Corp",80.25,0.15,+0.19%,7.67%,118544,-15.74%,40203,78341,1212046
AEO,"American Eagle Outfitters",16.17,-0.13,-0.80%,27.38%,5313,-15.79%,3039,2274,114442
TEAM,"Atlassian Corp",162.22,-3.76,-2.27%,32.31%,12552,-15.94%,3861,8691,193167
AZN,"Astrazeneca Plc",156.45,-0.79,-0.50%,48.99%,4056,-16.06%,1253,2803,107915
PG,"Procter & Gamble Company",144.55,0.29,+0.20%,17.32%,18542,-16.11%,6613,11929,393306
HIMS,"Hims & Hers Health Inc",28.15,-0.62,-2.16%,9.49%,82615,-16.18%,26612,56003,958538
RXRX,"Recursion Pharmaceuticals Inc Cl A",3.16,-0.15,-4.53%,2.91%,8069,-16.53%,3192,4877,354948
AMZN,"Amazon.com Inc",262.65,-2.48,-0.94%,16.97%,723660,-17.05%,269658,454002,4943612
EOSE,"Eos Energy Enterprises Inc",4.02,-0.14,-3.37%,13.30%,41156,-17.21%,10313,30843,1558680
AAL,"American Airlines Gp",14.83,-0.23,-1.53%,18.51%,64832,-17.43%,42421,22411,2087850
ETN,"Eaton Corp",451.51,-1.82,-0.40%,35.14%,5530,-17.77%,3817,1713,105691
ORCL,"Oracle Corp",150.52,-5.7,-3.65%,63.22%,307525,-18.76%,117051,190474,3296340
UBER,"UBER Technologies Inc",75.95,0.07,+0.09%,19.45%,96429,-19.15%,30970,65459,1364464
V,"Visa Inc",364.15,-1.3,-0.36%,21.49%,23451,-19.19%,10350,13101,498693
GOOGL,"Alphabet Cl A",345.9,-0.46,-0.13%,11.95%,452526,-19.30%,120185,332341,3550684
DVN,"Devon Energy Corp",45.85,1.46,+3.29%,38.48%,17788,-19.79%,5455,12333,574111
MXL,"Maxlinear Inc",84.84,8.19,+10.68%,35.80%,5751,-20.05%,1957,3794,90939
LUV,"Southwest Airlines Company",44.26,-0.61,-1.36%,15.05%,7546,-20.09%,2691,4855,240300
NOW,"Servicenow Inc",124,-3.25,-2.55%,43.37%,134223,-20.73%,37475,96748,1406522
META,"META Platforms Inc",589.85,-5.12,-0.86%,29.33%,451919,-20.78%,143763,308156,3377099
AMKR,"Amkor Technology",58.99,1.24,+2.15%,46.09%,7879,-21.07%,2163,5716,160979
CLS,"Celestica Inc",335.05,-12.58,-3.62%,26.17%,12350,-21.26%,4889,7461,127654
MO,"Altria Group",65.7,0.62,+0.95%,58.60%,18384,-22.16%,7277,11107,412648
SNAP,"Snap Inc",5.41,0.11,+2.08%,16.50%,60257,-22.16%,16629,43628,1418519
CELH,"Celsius Holdings Inc",29.09,0.31,+1.08%,31.52%,33395,-22.69%,9953,23442,697558
ZTS,"Zoetis Inc Cl A",73.79,-2.05,-2.70%,32.84%,5370,-22.70%,2825,2545,177011
DAL,"Delta Air Lines Inc",89.35,-1.96,-2.15%,0.00%,17188,-22.84%,10293,6895,401962
ET,"Energy Transfer LP",21.05,0.29,+1.40%,28.29%,39485,-23.12%,6495,32990,953467
GLW,"Corning Inc",165.99,7.45,+4.70%,55.18%,49553,-23.29%,20429,29124,627894
SOUN,"Soundhound AI Inc Cl A",7.43,-0.05,-0.67%,13.47%,53544,-23.30%,9872,43672,729526
MCD,"McDonald's Corp",272.83,0.58,+0.21%,38.39%,21492,-23.42%,7029,14463,309195
TXN,"Texas Instruments",279.58,6.15,+2.25%,32.14%,16845,-23.68%,7859,8986,277501
B,"Barrick Mining Corp",41.6,0.69,+1.69%,39.19%,18818,-23.71%,5175,13643,887162
ACN,"Accenture Plc",176.89,-1.6,-0.90%,55.31%,10775,-23.89%,4128,6647,252809
VZ,"Verizon Communications",48.48,0.26,+0.54%,37.53%,45302,-24.05%,16133,29169,1187292
PCT,"Purecycle Technologies Inc",6.95,-0.05,-0.71%,51.36%,7690,-24.46%,1199,6491,499221
NOK,"Nokia Corp ADR",10.76,0.2,+1.89%,54.62%,181829,-24.69%,34631,147198,4003762
SKHY,"SK hynix Inc",166.33,0.66,+0.40%,1.50%,144782,-24.81%,64497,80285,1062342
BX,"Blackstone Inc",143.93,-5.39,-3.61%,23.06%,15269,-24.92%,6917,8352,504745
AG,"First Majestic Silver",19.26,0.48,+2.56%,14.78%,32794,-25.20%,6799,25995,1002593
UAL,"United Airlines Holdings",125.34,-1.01,-0.80%,6.85%,12432,-25.27%,6756,5676,339392
GOOG,"Alphabet Cl C",343.54,-0.4,-0.12%,10.56%,166655,-25.33%,50647,116008,1922554
SOFI,"Sofi Technologies Inc",18.29,-0.14,-0.76%,0.00%,262577,-25.35%,74902,187675,4171596
SHOP,"Shopify Inc",154.32,-4.21,-2.66%,13.54%,41161,-25.67%,16580,24581,846633
PEP,"Pepsico Inc",140.79,0.17,+0.12%,28.23%,19599,-26.36%,9393,10206,409298
TSM,"Taiwan Semiconductor ADR",426.35,-4.14,-0.96%,20.48%,126004,-26.37%,62267,63737,2150391
FCX,"Freeport-Mcmoran Inc",66.49,-0.34,-0.51%,44.08%,39582,-26.39%,17895,21687,1172211
GILD,"Gilead Sciences Inc",138.36,0.22,+0.16%,36.11%,5878,-26.83%,2396,3482,165462
DASH,"Doordash Cl A",217.02,0.76,+0.35%,15.07%,8747,-27.07%,4746,4001,206069
U,"Unity Software Inc",46.25,0.46,+1.00%,0.00%,24531,-27.18%,7529,17002,571185
LVS,"Las Vegas Sands",46.23,0.46,+1.01%,9.03%,5598,-27.71%,2689,2909,143902
DJT,"Trump Media & Technology Group Corp",8.27,-0.03,-0.36%,25.06%,18724,-28.23%,5732,12992,557443
CRML,"Critical Metals Corp",6.66,0.08,+1.22%,9.62%,7243,-28.33%,2222,5021,317330
AEM,"Agnico-Eagle Mines Ltd",186.46,6.1,+3.38%,53.02%,5890,-28.73%,3026,2864,184247
CMCSA,"Comcast Corp A",26.18,0,0.00%,28.23%,26384,-28.88%,6925,19459,863443
MPT,"Medical Properties Trust Inc",4.18,-0.02,-0.48%,13.28%,12026,-29.19%,6653,5373,551670
PGEN,"Precigen Inc",6.1,-0.39,-6.01%,0.00%,5402,-29.29%,436,4966,138906
TMUS,"T-Mobile US",182.61,-0.77,-0.42%,30.80%,4913,-29.47%,1179,3734,197938
MS,"Morgan Stanley",217.36,-1.02,-0.47%,26.81%,12326,-29.61%,6643,5683,382915
APA,"Apa Corp",40.47,0.47,+1.18%,14.87%,5632,-29.75%,2018,3614,203909
GEV,"GE Vernova Inc",1063.25,13.83,+1.32%,26.29%,13077,-29.88%,7006,6071,229896
BE,"Bloom Energy Corp Cl A",229.94,-6.28,-2.66%,12.43%,112754,-30.18%,59593,53161,1159077
OPEN,"Opendoor Technologies Inc",3.64,-0.01,-0.27%,0.00%,56032,-30.21%,11148,44884,1590520
STLA,"Stellantis N.V.",5.36,-0.01,-0.19%,30.49%,5987,-30.50%,3888,2099,376917
USAS,"Americas Gold and Silver Corp",5.24,0.19,+3.76%,4.65%,5697,-30.59%,2467,3230,179098
TSCO,"Tractor Supply Company",35.83,-0.34,-0.94%,43.93%,6916,-30.81%,1474,5442,179580
FTNT,"Fortinet Inc",160.01,-5.43,-3.28%,31.50%,6870,-31.29%,1962,4908,185347
AAPL,"Apple Inc",305.93,0.67,+0.22%,35.27%,1043059,-31.29%,296782,746277,5114018
WFC,"Wells Fargo & Company",88.82,0.71,+0.81%,0.46%,26627,-31.32%,11552,15075,993260
CCL,"Carnival Corporation Ltd",28.12,-0.3,-1.06%,15.16%,25796,-32.09%,9952,15844,1006768
UNH,"Unitedhealth Group",401.73,2.67,+0.67%,3.26%,42332,-32.12%,18329,24003,998976
UPST,"Upstart Holdings Inc",30.43,-0.54,-1.74%,0.08%,13012,-32.41%,4972,8040,322159
PBR,"Petroleo Brasileiro S.A. Petrobras ADR",17.88,-0.01,-0.06%,7.97%,22315,-32.69%,12512,9803,2077042
ZM,"Zoom Communications Inc",105.96,-3.88,-3.53%,66.11%,9590,-32.93%,3314,6276,320406
ETSY,"Etsy Inc",79.9,-0.77,-0.95%,6.17%,6328,-33.45%,2447,3881,195622
SOC,"Sable Offshore Corp",4.15,0.12,+2.98%,39.63%,7693,-33.98%,2770,4923,407534
DOW,"Dow Inc",31.07,0.71,+2.34%,0.00%,9763,-34.12%,3179,6584,528954
ENPH,"Enphase Energy Inc",40.48,-0.3,-0.74%,22.70%,13094,-34.63%,5206,7888,418013
TEM,"Tempus AI Cl A",52.1,-2.19,-4.03%,6.44%,12229,-34.95%,4368,7861,340927
DDOG,"Datadog Cl A",255.46,3.22,+1.28%,36.58%,14144,-35.02%,7361,6783,301446
TGT,"Target Corp",154.48,-1.03,-0.66%,48.48%,17928,-35.75%,8210,9718,433224
CPNG,"Coupang Cl A",16.12,-0.17,-1.04%,37.03%,13105,-36.28%,5623,7482,713274
BKNG,"Booking Holdings",212.06,-1.28,-0.60%,17.88%,10212,-36.90%,6283,3929,640704
QS,"Quantumscape Corp",6.19,0.03,+0.49%,0.20%,19172,-36.95%,4224,14948,742213
SBUX,"Starbucks Corp",107.69,-0.86,-0.79%,0.00%,15001,-38.00%,8421,6580,487574
AMC,"AMC Entertainment Holdings",2.5,-0.13,-4.94%,29.48%,70393,-38.27%,8476,61917,1148372
MSFT,"Microsoft Corp",495.4,-1.48,-0.30%,24.59%,467279,-39.17%,171422,295857,4343335
ELF,"E.L.F. Beauty Inc",91.44,-0.61,-0.66%,10.40%,5659,-39.60%,1248,4411,136035
SE,"Sea Ltd ADR",121.94,-1.38,-1.12%,18.92%,6903,-40.14%,3203,3700,298257
SPOT,"Spotify Technology S.A.",512.82,14.58,+2.93%,14.31%,7040,-40.54%,3264,3776,152031
VST,"Vistra Energy Corp",148.13,1.73,+1.18%,1.00%,20696,-40.79%,8746,11950,549904
WEN,"Wendys Company",8.64,-0.01,-0.12%,18.82%,20627,-40.96%,1787,18840,680395
BA,"Boeing Company",231.67,1.34,+0.58%,28.64%,38968,-41.48%,13610,25358,837698
ADBE,"Adobe Systems Inc",264.02,-6.47,-2.39%,72.31%,26182,-41.72%,12331,13851,748040
TOST,"Toast Inc Cl A",34.75,-0.47,-1.33%,7.74%,8594,-41.96%,2131,6463,338514
INFY,"Infosys Ltd ADR",12.09,-0.32,-2.58%,28.17%,8543,-42.02%,6486,2057,424129
BBAI,"Bigbear.Ai Holdings Inc",3.27,-0.07,-2.10%,1.57%,17702,-42.06%,2937,14765,748387
JBLU,"Jetblue Airways Corp",5.65,-0.15,-2.59%,0.00%,13246,-42.69%,9045,4201,988242
VRT,"Vertiv Holdings",293.84,6.77,+2.36%,29.81%,19649,-43.52%,10672,8977,473677
TER,"Teradyne Inc",418.79,8.27,+2.01%,42.72%,5330,-43.91%,3280,2050,100628
FIG,"Figma Cl A",25.42,-0.93,-3.53%,32.54%,38520,-44.07%,14935,23585,436484
JNJ,"Johnson & Johnson",260.35,-1.73,-0.66%,43.67%,17635,-44.19%,7342,10293,409503
MARA,"Mara Holdings Inc",9.2,-0.01,-0.11%,27.82%,107858,-44.34%,39167,68691,1860022
AA,"Alcoa Corp",49.98,0.39,+0.79%,21.65%,10251,-44.48%,3810,6441,271501
SLS,"Sellas Life Sciences Group Inc",12.78,0.42,+3.40%,29.26%,24657,-44.86%,6382,18275,1009896
MDT,"Medtronic Inc",91.27,0.69,+0.76%,71.63%,7261,-45.14%,1720,5541,257604
GM,"General Motors Company",86.77,0.38,+0.44%,18.38%,12342,-46.04%,4440,7902,341173
CAG,"Conagra Brands",15.62,0.23,+1.49%,35.42%,5278,-46.10%,834,4444,215864
EQT,"Eqt Corp",54.42,0.34,+0.63%,0.00%,8069,-46.60%,1905,6164,347334
ABBV,"Abbvie Inc",249.46,-1.36,-0.54%,35.75%,9795,-46.60%,3294,6501,304908
AGNC,"Agnc Investment Corp",10.96,0,0.00%,10.67%,13044,-49.01%,3720,9324,536147
ABT,"Abbott Laboratories",111.25,-0.02,-0.02%,32.22%,7346,-49.44%,3281,4065,253076
ISRG,"Intuitive Surg Inc",394.51,-6.76,-1.68%,21.71%,5804,-49.89%,2188,3616,145532
PFE,"Pfizer Inc",26.79,-0.01,-0.04%,7.07%,55592,-50.28%,19015,36577,2655976
GRPN,"Groupon Cl A",21.51,-0.47,-2.14%,30.74%,4502,-50.63%,581,3921,160166
BB,"Blackberry Ltd",8.9,-0.09,-1.00%,22.14%,17359,-50.87%,5473,11886,698042
SBET,"Sharplink Inc",6.26,-0.06,-0.95%,3.28%,7536,-51.22%,550,6986,485433
KR,"Kroger Company",56.69,-0.54,-0.94%,73.11%,6761,-51.50%,4997,1764,139341
RTX,"Rtx Corp",222.97,2.49,+1.13%,22.75%,8196,-51.86%,3331,4865,205219
CLF,"Cleveland-Cliffs Inc",11.9,-0.25,-2.06%,10.77%,24443,-52.29%,7183,17260,759673
RUN,"Sunrun Inc",10.19,0.33,+3.35%,7.24%,13208,-54.32%,3424,9784,550760
BP,"BP Plc ADR",42.53,-0.3,-0.70%,39.68%,8353,-54.63%,3602,4751,445517
ON,"On Semiconductor",82.66,1.1,+1.35%,28.91%,9309,-56.37%,3748,5561,326719
OWL,"Blue Owl Capital Inc",12.22,-0.44,-3.48%,30.15%,28207,-57.85%,14210,13997,996948
ZETA,"Zeta Global Holdings Corp Cl A",29.05,-0.57,-1.92%,22.58%,13781,-58.57%,3042,10739,344506
NRG,"NRG Energy",126.24,6.49,+5.42%,33.46%,5264,-59.92%,799,4465,187672
SIRI,"Siriusxm Holdings Inc",28.46,0.47,+1.68%,14.35%,10050,-61.08%,1198,8852,412618
TTWO,"Take-Two Interactive",246.95,5.04,+2.08%,48.79%,5848,-61.14%,2536,3312,268304
XPEV,"Xpeng Inc ADR",11.7,-0.08,-0.68%,36.22%,8660,-62.30%,2264,6396,609809
BTDR,"Bitdeer Technologies Group",9.13,0.37,+4.22%,20.70%,15141,-62.56%,4886,10255,477228
IBM,"Intl Business Machines",234.32,-2.82,-1.19%,30.15%,40182,-63.31%,14215,25967,764098
PTON,"Peloton Interactive Inc",5.63,0.07,+1.26%,2.16%,6301,-63.75%,2605,3696,805977
LCID,"Lucid Group Inc",6.22,-0.22,-3.42%,6.49%,21515,-65.59%,9978,11537,1519874
BMY,"Bristol-Myers Squibb Company",63.83,-0.82,-1.27%,24.20%,11219,-65.84%,4044,7175,752411
MMM,"3M Company",182.65,0,0.00%,4.55%,5033,-66.99%,2144,2889,134627
FISV,"Fiserv Inc",54.39,-1.11,-2.00%,10.80%,8883,-67.28%,2611,6272,589242
AI,"C3.Ai Inc Cl A",9.93,-0.25,-2.46%,48.18%,9564,-70.37%,2452,7112,304623
CSX,"CSX Corp",50.16,0.02,+0.04%,21.60%,5946,-72.26%,2144,3802,239483
MCHP,"Microchip Technology",79.17,1.48,+1.91%,26.96%,6886,-75.89%,2797,4089,545777
WOLF,"Wolfspeed Inc",31.79,0.28,+0.89%,13.36%,8354,-80.14%,1972,6382,604161
"Downloaded from Barchart.com as of 08-17-2026 12:53am CDT"
