Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
RIG,"Transocean Inc",6.22,0.3,+5.07%,4.65%,8%,27978,7.5%,92.5%,0.080774133735079
AG,"First Majestic Silver",21.2,1.34,+6.75%,11.65%,8%,27778,18.4%,81.6%,0.22607697740113
ADBE,"Adobe Systems Inc",279.79,-6.29,-2.20%,71.92%,73%,27750,48.9%,51.1%,0.95670568326047
BSX,"Boston Scientific Corp",48.37,0.29,+0.60%,53.07%,71%,27708,31.6%,68.4%,0.46108415946003
NN,"Nextnav Inc",15.35,0.13,+0.85%,47.53%,61%,27670,5.2%,94.8%,0.054818542238487
C,"Citigroup Inc",134.34,1.8,+1.36%,16.38%,20%,27466,48.4%,51.6%,0.93627070849489
JNJ,"Johnson & Johnson",275.21,4.02,+1.48%,67.18%,81%,27293,53.6%,46.4%,1.1546538248993
LULU,"Lululemon Athletica",120.07,2.07,+1.75%,54.80%,70%,27176,43.6%,56.4%,0.77238635622514
ALAB,"Astera Labs Inc",274.13,-5.78,-2.06%,11.93%,7%,27049,37.9%,62.1%,0.61073066158518
IBM,"Intl Business Machines",231.7,0.3,+0.13%,20.91%,22%,25500,37.6%,62.4%,0.60246339470873
LNG,"Cheniere Energy",295.86,1.73,+0.59%,47.27%,75%,25390,6.3%,93.7%,0.067120581683688
TEM,"Tempus AI Cl A",61.94,-0.33,-0.53%,36.69%,44%,24945,23.3%,76.7%,0.30376835833377
QBTS,"D-Wave Quantum Inc",16.49,-0.05,-0.30%,1.95%,1%,24943,32.6%,67.4%,0.48390743054316
AGNC,"Agnc Investment Corp",10.62,0.02,+0.19%,12.22%,11%,24569,64.9%,35.1%,1.8452808338159
CIEN,"Ciena Corp",354.16,-6.17,-1.71%,57.58%,35%,24464,57.9%,42.1%,1.3762991743565
FSLR,"First Solar Inc",202.6,2.95,+1.48%,9.30%,7%,23954,24.0%,76.0%,0.31579236473496
PL,"Planet Labs Pbc",19.99,0.73,+3.79%,59.95%,69%,23673,41.5%,58.5%,0.7097356637296
BRK.B,"Berkshire Hathaway Cl B",505.24,2.91,+0.58%,22.93%,18%,22962,45.1%,54.9%,0.82050265598985
AAOI,"Applied Optoelect",103.13,-0.26,-0.25%,5.23%,1%,22716,40.5%,59.5%,0.68104787981943
NCLH,"Norwegian Cruise Ord",15.57,0.14,+0.91%,24.11%,22%,22541,44.3%,55.7%,0.79638189352885
CCJ,"Cameco Corp",96.38,0.12,+0.12%,9.30%,6%,22288,70.4%,29.6%,2.3785053812339
EIX,"Edison International",55.19,-3.61,-6.14%,80.84%,99%,22256,29.7%,70.3%,0.42247219736674
FIG,"Figma Cl A",25.73,-1.47,-5.40%,26.35%,13%,22178,30.1%,69.9%,0.43148518685858
USAR,"USA Rare Earth Inc",17.85,0.59,+3.42%,0.00%,0%,21824,26.4%,73.6%,0.35898872906159
CLS,"Celestica Inc",277.77,-14.82,-5.07%,22.54%,1%,21822,32.3%,67.7%,0.47765438786566
KEEL,"Keel Infrastructure Corp",3.11,0.04,+1.30%,29.69%,6%,21598,19.2%,80.8%,0.2382044373101
MCD,"McDonald's Corp",260.95,-0.16,-0.06%,38.45%,40%,21511,32.6%,67.4%,0.48331264653151
LUMN,"Lumen Technologies Inc",6.81,0.43,+6.74%,10.88%,6%,21479,16.1%,83.9%,0.19201953493535
UAMY,"United States Antimony Corp",5.29,0.61,+13.03%,0.00%,0%,21339,70.5%,29.5%,2.3860679149476
FSLY,"Fastly Inc",20.43,-0.34,-1.64%,20.29%,29%,21078,12.2%,87.8%,0.13959775086505
JBLU,"Jetblue Airways Corp",4.64,0.17,+3.80%,16.71%,12%,20989,57.7%,42.3%,1.3665576727929
FRMI,"Fermi Inc",4.77,0.14,+3.02%,0.76%,1%,20846,28.4%,71.6%,0.39587518414357
TE,"T1 Energy Inc",4.27,-0.01,-0.23%,0.11%,1%,20802,32.1%,67.9%,0.47270796460177
ACHR,"Archer Aviation Inc",5.65,0.09,+1.62%,6.96%,3%,20778,23.0%,77.0%,0.29927463731866
LRCX,"Lam Research Corp",288.32,-1.88,-0.65%,31.12%,28%,20759,43.2%,56.8%,0.76043080054274
ENPH,"Enphase Energy Inc",35.52,-0.02,-0.06%,14.45%,12%,20726,31.8%,68.2%,0.46525273948392
BBY,"Best Buy Company",87,4.37,+5.29%,27.50%,39%,20512,52.2%,47.8%,1.0934884670341
MDT,"Medtronic Inc",92.18,0.14,+0.15%,39.42%,40%,20477,33.3%,66.7%,0.49959721713658
JOBY,"Joby Aviation Inc",6.82,0.13,+1.94%,1.53%,1%,20387,15.5%,84.5%,0.18363910822109
AXP,"American Express Company",329.98,5.79,+1.79%,10.04%,4%,20152,18.0%,82.0%,0.21978088493433
ZS,"Zscaler Inc",172.73,-5.64,-3.16%,74.82%,90%,19905,38.8%,61.2%,0.63329777631903
RZLV,"Rezolve AI Plc",2.33,-0.06,-2.51%,2.20%,4%,19883,7.2%,92.8%,0.077143940625169
OKTA,"Okta Inc Cl A",163.15,-3.28,-1.97%,52.09%,45%,19726,57.3%,42.7%,1.3402538853957
DDOG,"Datadog Cl A",209.23,-14.61,-6.53%,41.84%,41%,19508,54.9%,45.1%,1.219087703333
APP,"Applovin Corp Cl A",319.05,7.31,+2.34%,8.99%,8%,19457,32.5%,67.5%,0.48232515617858
COHR,"Coherent Corp",268.64,-3.39,-1.25%,31.06%,16%,19309,50.5%,49.5%,1.0206153202177
EXE,"Expand Energy Corporation",99.32,-0.66,-0.66%,20.10%,5%,19183,87.1%,12.9%,6.7288477034649
RCAT,"Red Cat Holdings Inc",8.32,0.07,+0.85%,1.94%,2%,19179,24.8%,75.2%,0.33002773925104
AFRM,"Affirm Holdings Inc Cl A",74.09,4.15,+5.93%,8.68%,4%,19005,38.5%,61.5%,0.62672258837627
NTSK,"Netskope Inc Cl A",13.75,-0.3,-2.14%,81.64%,98%,18961,18.1%,81.9%,0.22155650045097
HD,"Home Depot",318.51,-1.26,-0.39%,40.70%,32%,18858,27.8%,72.2%,0.38539523949456
BB,"Blackberry Ltd",7.61,-0.22,-2.81%,22.41%,61%,18645,25.0%,75.0%,0.33292822419216
OSCR,"Oscar Health Inc Cl A",30.33,0.5,+1.68%,12.94%,8%,18605,10.1%,89.9%,0.11260614759
NVTS,"Navitas Semiconductor Corp",11.21,0.27,+2.47%,1.61%,2%,18351,24.2%,75.8%,0.31888745148771
PDD,"Pdd Holdings Inc",82.25,-0.92,-1.11%,25.35%,13%,18332,56.0%,44.0%,1.2750062050137
NVAX,"Novavax Inc",10.32,0.2,+1.98%,13.50%,52%,18296,9.3%,90.7%,0.10230148210628
B,"Barrick Mining Corp",44.13,1.03,+2.39%,47.24%,34%,18251,52.3%,47.7%,1.097816091954
PLUG,"Plug Power Inc",2.09,0,0.00%,0.00%,0%,18237,29.1%,70.9%,0.4095687123203
